Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	1	3208470	19592050	8925	-0.0234
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	1	19592679	19604245	16	-1.2527
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	1	19606548	100142361	47088	-0.0074
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	1	100144643	100144658	2	-1.5131
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	1	100144830	245880329	73007	0.0027
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	2	474222	12245962	7421	-0.0012
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	2	12252789	12255455	6	-0.8173
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	2	12255619	222179257	111887	-8e-04
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	2	222179704	222179760	2	1.058
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	2	222180806	242124735	11952	-0.0165
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	3	526235	23191041	12112	0.0039
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	3	23191328	23191428	2	-1.454
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	3	23192342	29542397	3999	0.0117
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	3	29547638	29549196	3	-0.9598
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	3	29550409	30166127	417	0.0025
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	3	30167548	30167569	2	-1.0854
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	3	30167781	199023074	89839	0.0048
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	4	1043934	189836143	102715	0.0101
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	5	967233	35959126	20659	0.0173
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	5	35966447	35966460	2	-1.268
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	5	35971940	40597322	2897	-0.0014
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	5	40601760	40614679	4	-0.8345
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	5	40619017	180293075	76929	0.0103
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	6	959281	170745844	96463	0.0032
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	7	671810	14767799	6859	0.016
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	7	14769902	14784079	11	-0.5475
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	7	14784533	28846246	8784	0.0061
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	7	28849122	28850008	2	-1.2984
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	7	28853096	158077879	65643	0.0114
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	8	607667	121896003	66880	0.0093
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	8	121896649	121896678	3	-1.1161
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	8	121898100	145304484	14627	3e-04
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	9	779932	140058573	67973	-0.009
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	10	405240	80138906	46568	0.0011
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	10	80139458	80140074	2	-1.2665
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	10	80140544	101533973	12912	-0.0056
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	10	101537504	101563738	16	-0.9597
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	10	101565291	107766105	3407	-0.0027
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	10	107768371	107773038	3	-0.9931
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	10	107773577	118975475	7520	-0.0103
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	10	118976386	118976703	3	0.9552
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	10	118978719	135075077	10397	-0.0261
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	11	446120	133647740	77231	4e-04
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	12	760163	22095735	12253	0.0119
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	12	22095758	22097176	9	-0.7618
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	12	22103119	131671419	61675	0.0066
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	13	18348806	24876573	3219	0.0017
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	13	24877038	24877656	2	-1.494
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	13	24879163	113128375	53211	0.0072
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	13	113130707	113132052	2	-1.3068
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	13	113132512	114005560	209	0.0226
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	14	19571208	37096506	9603	0.0156
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	14	37097338	37101559	3	-1.3382
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	14	37102264	105059083	39824	0.0035
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	15	21238778	45891026	12225	-0.0057
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	15	45891420	45891587	3	-1.0863
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	15	45893638	78245279	19752	-0.0205
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	15	78246864	78249397	2	-1.4221
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	15	78249430	89814906	6455	-0.0091
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	15	89818635	89818999	2	-1.2562
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	15	89824741	99701830	6077	-0.0131
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_F12_585006	16	593460	87907437	40845	-0.0039
