Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	1	3208470	15182109	6519	0.009
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	1	15182448	15182488	2	-2.1691
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	1	15185183	23830370	4835	0.013
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	1	23831508	23832200	2	-1.9897
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	1	23833455	90351083	38685	0.0076
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	1	90355076	90355150	2	-1.7332
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	1	90355681	152992009	19848	0.0036
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	1	152992483	152992866	2	-1.6345
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	1	152992886	209619434	35837	0.0023
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	1	209620235	209620383	2	-2.2399
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	1	209620422	245880329	23163	0.003
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	2	474222	242124735	131107	0.0014
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	3	526235	199023074	106234	0.0037
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	4	1043934	189836143	102605	6e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	5	967233	180293075	100353	-7e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	6	959281	1660725	594	0.015
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	6	1661709	1661770	2	-1.364
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	6	1663975	2880808	849	0.0176
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	6	2880823	2880885	2	2.0569
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	6	2883121	147324532	80881	0.004
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	6	147330257	147331609	5	-1.1975
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	6	147333101	150489553	2127	0.006
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	6	150491644	150491949	3	-1.3522
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	6	150492717	170745844	11886	-0.0017
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	7	671810	51641101	30031	-6e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	7	51641478	51642374	4	-1.555
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	7	51643420	158077879	51157	-4e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	8	607667	145304484	81403	0
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	9	779932	2074739	676	5e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	9	2079813	2079841	2	-1.6385
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	9	2080382	102616400	44253	0.0036
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	9	102617616	102618085	2	-1.6205
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	9	102618086	109465616	4207	0.0063
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	9	109465792	109468074	3	-1.2744
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	9	109469784	140058573	18758	0.0122
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	10	405240	54790948	31380	-8e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	10	54792409	54820133	49	-0.6886
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	10	54820179	95312034	24184	0.0024
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	10	95314493	95317419	3	1.8184
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	10	95317747	119599973	15230	-0.0019
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	10	119601033	119602388	5	-1.4316
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	10	119604334	132042168	9178	0.0016
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	10	132043481	132053096	6	-1.2954
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	10	132053734	135075077	711	-0.0172
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	11	446120	32060270	20104	0.0074
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	11	32060766	32061515	2	-1.8971
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	11	32065407	77088075	20426	0.0049
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	11	77094305	77465453	179	0.509
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	11	77465662	133647740	36403	0.0052
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	12	760163	69536263	37923	-0.002
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	12	69540533	69568981	30	0.4378
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	12	69572045	124382100	32632	-0.001
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	12	124384336	124384953	2	-2.344
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	12	124386844	131671419	3240	-0.0045
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	13	18348806	114005560	56551	0.0016
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	14	19571208	105059083	49347	8e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	15	21238778	99701830	44459	0.0078
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	16	593460	87907437	40787	0.0018
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	17	933971	2193779	481	-0.0171
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	17	2194018	2204569	15	-0.4943
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	17	2209453	76506115	35811	0.0065
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	17	76508617	76508916	2	-1.4922
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B12_730578	17	76509109	78164418	442	-0.0151
