Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	61735	16149915	8406	-0.0609
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	16153497	16153925	6	-1.7837
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	16154201	72750353	34612	-0.0661
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	72756113	72763370	9	-1.2465
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	72768418	72811148	48	0.3467
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	72811904	81888456	5783	-0.0682
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	81888602	81888605	2	-1.463
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	81888667	83815304	1308	-0.0683
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	83815957	83825590	4	-1.1516
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	83828273	86927000	2161	-0.0751
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	86931529	86932933	2	-1.3444
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	86933793	93864310	4318	-0.0679
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	93867139	93867648	2	-1.4545
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	93874606	106019236	7442	-0.0726
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	106019310	106021853	11	0.6152
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	106022090	108766355	1965	-0.0666
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	108769302	108817179	2	-2.9667
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	108828957	108900183	48	-0.0562
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	108900763	108910017	4	-1.0624
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	108910745	110227317	650	-0.0599
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	110227396	110236947	17	-0.5782
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	110239522	111380020	864	-0.0645
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	111382479	111382644	3	0.7436
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	111382993	112690326	1092	-0.0646
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	112695965	112697390	25	-1.9418
MAULS_p_TCGA_189_190_SNP_N_GenomeWideSNP_6_F04_932816	1	112705956	152555706	8039	-0.0331
