Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	61735	10367130	5200	0.0053
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	10367209	10381772	22	0.4757
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	10381788	12834580	1304	-0.0205
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	12835868	13688196	87	0.2587
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	13688680	16844932	2116	-0.0029
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	16846035	16871278	4	0.9339
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	16886135	30738504	7867	-0.0067
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	30738534	30739796	4	-1.3202
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	30741496	35091674	2565	-0.0125
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	35102654	35104491	20	-0.5614
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	35114268	41021036	3187	-0.0091
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	41022076	41027850	2	-1.4201
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	41027928	69251957	18531	-0.0042
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	69252362	69252537	2	1.3324
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	69254076	72771367	2157	0.0077
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	72771518	72773413	3	-1.063
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	72773429	72779080	3	-3.3232
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	72779091	72811148	36	-0.6287
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	72811904	106019205	21047	-0.0027
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	106019236	106022375	16	-1.485
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	106024055	147829226	10994	0.0099
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	147831183	149778729	260	0.2683
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	149789022	152555527	1461	0.0062
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	152555706	152560541	9	-0.8239
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	152560868	152586238	22	-1.9299
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	152586278	152761955	177	0.0241
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	152762008	152768700	34	0.3979
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	152773905	165045465	8027	-0.0099
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	165045534	165045554	2	-2.2916
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	165046515	169216937	3321	-0.008
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	169233974	169257750	12	0.5047
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	169258047	174796405	3521	0.0039
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	174796556	174797577	11	-0.8099
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	174797592	196714873	14679	0.0028
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	196727850	196749217	27	-1.6991
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B05_748584	1	196749821	196815791	69	-0.8179
