Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	1	3208470	46998071	23158	0.0058
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	1	46998473	46998632	2	-1.5999
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	1	47002750	196556685	74050	0.0042
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	1	196558558	196558824	2	-1.5284
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	1	196564473	245880329	31880	0.0038
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	2	474222	52453472	30820	0.0048
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	2	52513140	52552960	24	-1.0872
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	2	52553772	53675176	676	6e-04
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	2	53675858	53679522	2	-1.5451
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	2	53679713	166486429	56174	0.003
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	2	166489434	166489815	2	-1.7562
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	2	166496866	242124735	43601	0.0062
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	526235	34557871	19246	-0.091
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	34560362	34560716	2	-1.5956
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	34562872	36423071	1147	-0.0988
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	36426994	36427368	2	-1.7139
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	36428243	68952641	18681	-0.0943
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	68952871	68952905	2	-1.5669
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	68955668	119354381	25472	-0.0394
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	119354574	119355292	4	-1.1287
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	119360100	154087710	19033	0.0052
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	154087998	154090365	2	-1.6047
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	154095993	186743150	16107	0.007
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	186745268	186748929	3	-1.4385
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	3	186749332	199023074	6672	0.0039
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	4	1043934	131609817	72191	-0.0177
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	4	131610812	131610826	2	-1.3674
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	4	131611108	143695631	6481	0.0014
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	4	143696056	143697251	2	-2.1767
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	4	143698485	162036803	10243	0.0065
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	4	162037437	162042276	2	-1.4814
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	4	162049162	163401965	685	-0.0028
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	4	163402576	163417217	8	-0.8856
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	4	163420313	169353345	3012	0.0011
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_F12_697242	4	169357360	169357577	2	-1.4131
