Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	51598	219482	23	0.4809
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	219540	593453	10	-0.3253
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	615333	742429	12	0.5946
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	747332	16741950	8624	-0.0283
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	16743865	16885372	58	0.4338
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	16888764	55496029	21779	0.0104
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	55496611	55496887	6	-2.7966
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	55501956	56409754	728	0.0065
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	56411370	56412538	2	-1.9352
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	56415943	58050515	1390	0.0058
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	58050640	58053852	3	-1.6459
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	58056206	72541086	10079	-0.0024
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	72541504	72583736	46	-1.5913
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	72584492	72876115	195	-0.0685
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	72881146	72881515	5	-1.2829
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	72881528	90328495	11373	-0.0054
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	90328738	90332271	4	-1.5667
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	90332681	112491849	13983	-0.0042
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	112497488	112507728	36	0.5201
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	112507736	142792400	5194	0.0136
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	143183343	143183358	2	2.9819
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	143238504	151028632	2999	0.0332
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	151028670	151034883	28	0.7248
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	151034905	158194422	4309	0.0127
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	158194683	158195335	2	-2.1351
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	158197763	180129468	15267	0.0055
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	180130614	180133100	3	-1.8762
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	180134619	194998709	9813	-0.0158
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	195005246	195056390	54	0.4462
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	195056457	195057649	11	-0.1516
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	195057666	195079130	25	0.4539
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	195079153	195082414	2	3.7278
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	195083353	246804070	35585	0.0027
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	246815817	246861912	30	-2.5926
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	246862475	246933867	42	-0.2456
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	246933980	246939281	3	-2.7172
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	246942931	247158355	85	-0.1105
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	1	247160079	247191011	16	0.4481
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	2	2784	3167047	2216	-0.0464
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	2	3167118	3174435	5	-2.0974
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	2	3175733	87227404	56752	-0.0053
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	2	87228462	87930616	192	0.4444
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	2	87933699	130262035	21578	0.0053
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	2	130265745	130275716	9	-1.1244
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	2	130276517	146578555	9705	-0.0106
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	2	146580874	146595458	35	0.5776
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	2	146596724	184305321	23104	1e-04
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C10_1377498	2	184310980	184311949	7	-1.0167
