Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	61735	16851514	8729	0.0753
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	16869363	16970178	39	0.6322
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	16970311	22297426	3468	0.0765
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	22298285	22348556	23	0.4575
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	22357862	62114006	23410	0.0629
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	62114181	62120564	6	-0.9504
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	62120581	65881392	2786	0.0537
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	65881457	65897951	10	-0.512
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	65898001	72768916	4585	0.0477
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	72768936	72811148	45	-0.5307
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	72811904	89475255	10986	0.049
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	89477958	89478205	2	-3.085
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	89481524	102977075	8578	0.0455
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	102980501	102981095	2	-1.3262
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	102981418	104163787	528	0.0381
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	104178038	104268222	25	0.7104
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	104303403	110224384	3593	0.0495
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	110224427	110225965	4	-1.1979
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	110226004	110227515	10	0.3627
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	110232974	110240178	17	-1.2214
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	110242953	112696087	1961	0.0732
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	112696193	112696615	9	-0.5865
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	112696787	152555706	8059	0.0991
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	152555767	152586540	32	-1.585
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	152586576	152751237	165	0.1268
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	152754630	152778443	48	0.4131
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	152778526	158959575	3685	0.0962
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	158962039	158962796	2	-1.4495
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	158966864	196714873	25872	0.0853
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	196727850	196783626	48	0.3936
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	196788986	199107702	1428	0.0689
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	199111363	199113840	9	-1.9725
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	199114238	210071062	7438	0.0938
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	210081613	210082065	2	-1.754
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	210083984	248624337	26936	0.0941
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	248626622	248649486	8	0.8169
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	248649502	248737447	23	0.1689
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	248749194	248795289	30	-0.8695
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	1	248795852	249224388	148	0.068
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	12784	4205687	2991	0.1064
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	4213864	4223167	36	-0.6207
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	4223512	14706056	8027	0.08
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	14706269	14710092	10	-1.3443
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	14710364	33413047	12056	0.0739
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	33413193	33419969	3	-1.2601
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	33428234	34675467	992	0.0665
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	34681494	34727867	48	0.7424
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	34736513	35967123	875	0.0503
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	35967385	35987947	10	-0.9236
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	35997473	36332258	272	0.0936
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	36335595	36335605	7	0.993
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	36335606	40332851	2892	0.0819
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	40335410	40335876	3	-2.0762
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	40336640	41238235	771	0.0457
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	41238443	41245887	23	-2.033
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	41251233	52758753	8202	0.0645
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	52758768	52792124	36	-0.341
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	52792828	76842102	15559	0.0684
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	76842116	76845426	10	-0.5973
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	76847586	87476576	6528	0.071
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	87476658	87815648	83	0.3175
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	87815681	102663720	4585	0.0912
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	102664112	102686801	23	0.447
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	102689583	115539395	7482	0.0667
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	115539579	115542070	12	-0.4847
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	115542270	132125233	10149	0.0699
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	132126872	132142408	4	1.0121
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	132143834	132760324	279	0.0797
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	132764760	132809936	12	0.7731
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	132812735	137982148	3449	0.0679
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	137983647	137984261	5	-1.1891
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	137985285	146865243	5479	0.0448
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	146865327	146878410	18	-0.3655
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	146878442	153796068	4205	0.048
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	153796770	153796784	2	-1.8566
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	153800569	160089223	3698	0.0434
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	160092757	160658895	325	0.4329
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	160660471	160661278	5	-0.3388
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	160661410	161928109	857	0.4531
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	161928669	161931868	2	-0.7129
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	161935424	162159807	145	0.4212
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	162161305	163818218	868	0.0364
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	163819925	180413371	10416	0.4487
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	180418211	180422137	30	-0.9762
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	180425643	184071581	2319	0.4471
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	184074403	184089724	13	-0.0797
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	184093998	212707305	16858	0.4376
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	212708010	216296860	2329	0.0329
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	216297231	217276321	699	0.4595
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	2	217279768	243089456	16409	0.0602
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	3	60345	26613201	20060	-0.4338
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	3	26614974	26614985	8	1.1353
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	3	26615949	37976700	7608	-0.4474
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	3	37977417	37988736	28	-1.0048
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	3	37990105	60592860	13701	-0.4243
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	3	60593028	60593142	2	-2.4214
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	3	60596343	65189462	3971	-0.4356
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_E08_742070	3	65189478	65206944	40	0.0509
