GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	62920	783283	24	-0.1688
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	787937	3220294	678	0.1519
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	3221349	12779433	5782	0.0322
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	12792599	12855993	30	0.4236
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	12867264	15822848	1813	0.0322
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	15823420	15827430	7	-1.6661
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	15827706	16868660	360	0.0249
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	16877002	16935752	52	-0.3689
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	16949746	25256850	5262	0.0339
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	25266637	25320253	23	-1.6992
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	25320455	34190783	4614	0.0291
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	34191211	34191702	2	-1.4242
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	34196051	34626073	336	0.0563
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	34637053	34638890	20	-0.5687
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	34648667	72303233	23771	0.0227
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	72303253	72345450	44	-1.801
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	72345465	108187137	22896	-0.0064
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	108191613	108194874	3	-3.4935
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	108196482	109690431	697	0.0337
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	109690640	109691788	5	-1.237
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	109691933	112147704	1953	0.0285
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	112153343	112154768	25	0.4016
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	112163334	119367226	4538	-0.0014
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	119367456	152583051	3064	0.0497
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	152583230	152607145	26	-0.8608
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	152607349	186213796	22715	0.0174
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	186214730	196769493	6960	-0.0147
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	196769506	196846661	56	0.3744
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	196847600	215659213	12667	0.0197
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	215660217	222380560	4848	-0.0217
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	222380691	236043143	9054	0.0214
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	236046583	241571821	4456	-0.015
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	241572562	248028918	4354	0.024
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	248029624	248029809	2	-1.572
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	248032111	248414390	225	-0.0284
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	248415321	248477891	24	-0.4693
730199ce-29fa-4cd9-9149-4a3c3077e19e	1	248520099	248930189	187	0.0145
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	12784	4168879	2988	0.0061
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	4169315	4171952	16	-0.8253
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	4172309	7991537	3294	-0.0061
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	7992057	13024073	3681	0.0361
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	13025001	18135375	3719	-0.005
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	18139320	18156763	14	0.6266
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	18157411	34476516	10368	0.0063
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	34476558	34511990	43	0.6561
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	34512489	35750907	869	-0.0517
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	35752724	35762881	7	-1.8391
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	35772407	37531602	1395	-0.0165
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	37535081	37535754	3	-1.212
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	37542932	52514599	10726	0.0165
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	52516787	52531803	13	0.6518
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	52531878	55101242	2014	0.0333
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	55101345	55101508	5	-0.7718
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	55102179	56707780	1055	0.0304
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	56708735	63015205	3817	-0.0169
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	63018946	78728212	10019	0.0242
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	78728668	79373822	513	-0.0959
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	79374129	86710564	4517	0.0136
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	86725947	86726731	2	-1.7337
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	86743283	97359885	1930	0.0288
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	97524284	97560849	15	-0.6985
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	97562741	128880904	18964	0.0017
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	128880928	128882741	14	-3.1343
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	128882755	146104517	10417	-0.0074
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	146106836	146109139	21	0.7773
730199ce-29fa-4cd9-9149-4a3c3077e19e	2	146109341	179196928	20274	0.0144
