Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	51598	76204	15	0.7025
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	88451	16718622	8702	0.0087
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	16724101	16889665	65	0.2499
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	16890117	16921066	17	0.7152
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	16929044	22369290	3538	0.0098
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	22374303	22376859	3	-1.3147
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	22380010	25455928	1814	0.0099
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	25465715	25519533	27	-1.8821
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	25519573	72522941	28753	0.0056
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	72528701	72535958	9	-1.0193
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	72541006	103960907	20130	0.0074
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	103965022	104104926	28	-0.5785
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	104105024	105814899	917	0.0076
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	105820728	105823898	17	1.1561
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	105825578	118995828	8776	0.0035
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	118997140	119022019	26	-1.0057
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	119025809	150823038	3897	0.0306
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	150826908	150827507	4	-2.0577
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	150837793	194981496	29749	0.0051
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	194994473	195068610	91	0.3494
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	195068625	208137685	8813	0.0057
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	208148236	208148688	2	-2.3124
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	208150607	246804070	26944	0.0042
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	246815817	246861912	30	-0.9596
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	1	246862475	247191011	146	0.0226
MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G08_1320372	2	2784	4183562	2986	0.0191
