Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	1	3218610	9489406	3692	0.01
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	1	9489972	9494466	3	-1.8578
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	1	9498113	16405611	3375	0.0193
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	1	16407320	16408804	2	-1.7357
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	1	16413265	29192399	6396	0.0101
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	1	29194818	29194901	2	1.8713
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	1	29195757	157503805	57660	0.0081
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	1	157504120	157507952	4	-1.0134
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	1	157508280	178624729	13872	-2e-04
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	1	178625499	178626020	2	-1.7568
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	1	178626992	193104258	8914	-5e-04
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	1	193104525	193104804	5	-0.9712
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	1	193107206	247813706	34684	0.0077
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	2	484222	6295158	3198	0.0086
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	2	6295524	6295756	3	-1.7224
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	2	6297054	74956973	40104	0.0044
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	2	74959556	74960938	3	-1.9724
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	2	74964553	128641422	23336	0.0017
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	2	128644437	128649966	4	-1.2911
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	2	128650919	242476062	64266	0.0048
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	3	2212571	12634926	6171	0.0118
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	3	12634941	12635031	5	1.4722
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	3	12635106	133374229	66941	0.014
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	3	133375081	133375645	3	-1.5412
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	3	133387688	197538677	32925	0.0032
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	4	1053934	79993822	43328	8e-04
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	4	79994037	80000781	2	-2.0603
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	4	80001710	107333079	15258	0.0027
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	4	107334166	107334361	2	-1.5262
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	4	107336803	188763651	43857	3e-04
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	5	914233	17255364	10646	-0.012
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	5	17255684	17256048	4	-1.6875
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	5	17256556	180360469	89525	-0.0113
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	6	1014281	138949611	77525	0.0024
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	6	138949970	138954773	3	-1.7226
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	6	138959062	170903919	18639	0.0039
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	7	705284	158385118	81097	0.0052
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	8	617667	42933372	24658	0.0014
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D02_1377566	8	47460945	47707074	109	-0.8014
