GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	62920	3221349	704	0.0687
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	3221392	12779433	5779	-0.005
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	12792599	12807327	14	0.6296
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	12807374	15822848	1829	0.0192
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	15823420	15828515	11	0.8621
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	15839166	16767520	342	-0.0167
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	16767532	16788139	10	-0.6222
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	16855942	16898475	14	-0.0292
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	16898730	16956580	46	0.336
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	16958425	25088630	5132	-0.0003
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	25089191	25090270	2	1.8589
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	25092208	25256138	117	-0.0632
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	25256188	25320455	28	0.5156
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	25336819	30189691	2306	-0.0083
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	30190003	30192228	3	1.3336
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	30192672	30265687	78	-0.0465
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	30266452	30266509	2	-1.7732
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	30266949	30708524	367	0.0131
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	30708792	30712791	6	0.8294
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	30714548	54705851	13283	0.0063
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	54713332	58017271	2733	0.0441
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	58017382	58018605	4	1.1748
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	58018792	59078560	831	0.0344
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	59078763	59080367	2	-1.4758
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	59081983	72303233	9092	0.0318
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	72303253	72343689	39	-1.1758
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	72343748	72345465	6	-0.5488
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	72346221	81422771	5776	0.0337
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	81422917	81422920	2	2.0346
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	81422982	103524832	14202	0.0328
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	103556030	103760781	39	0.4347
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	103760879	105079911	697	0.0486
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	105080318	105080931	2	1.5493
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	105084196	105476861	222	0.0445
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	105478582	105479738	11	0.8193
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	105479753	108187137	1937	0.0411
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	108191613	108194874	3	-1.6473
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	108196482	112147704	2655	0.012
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	112153343	112154768	25	-1.3098
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	112163334	112385290	208	-0.0647
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	112385414	152599705	7400	0.0332
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	152599870	152606992	10	0.8332
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	152607145	193186662	27257	0.03
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	193187149	193187218	4	1.3738
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	193190593	196769493	2401	0.026
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	196769506	196854586	60	0.4198
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	196854706	220771948	16327	0.0265
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	220772047	220779968	5	1.0807
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	220780435	241341246	14462	0.0167
866ce931-7ee1-46cc-bef3-caabd1d222c4	1	241342579	248930189	4989	-0.0321
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	12784	300879	184	-0.1862
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	301380	15865836	11830	0.0088
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	15869587	15930750	42	0.2893
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	15930971	16110149	97	0.6018
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	16177242	27538133	7289	0.0191
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	27542441	27556651	9	-0.8423
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	27561561	35742970	5527	0.0186
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	35750907	35762850	7	-1.3478
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	35762881	41161067	4051	0.0254
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	41162502	41391197	175	-0.149
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	41394342	52514599	7892	0.0232
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	52516787	52581564	60	0.325
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	52584576	56389666	2785	0.0515
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	56391946	56533992	114	-0.8533
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	56534863	57680234	785	0.0808
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	57683343	57683390	2	1.9102
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	57684020	59395347	1070	0.0426
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	59399522	59416363	6	1.091
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	59417321	86710564	17121	0.0217
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	86725947	86743283	3	-1.7109
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	86744622	97359380	1926	0.0052
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	97359885	97560849	16	-0.6413
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	97562741	107344670	6262	0.0166
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	107344684	107344944	2	-1.4004
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	107348011	107379395	20	-0.0305
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	107381360	107383551	3	-2.038
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	107385536	127084661	11628	0.0219
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	127084748	127101070	13	0.7165
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	127103254	179553661	31955	0.0332
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	179553763	179557142	23	-0.8674
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	179557161	184451949	3170	0.0232
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	184452153	184455332	4	1.4397
866ce931-7ee1-46cc-bef3-caabd1d222c4	2	184460792	217444986	19780	0.028
