Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	61735	16869363	8730	0.009
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	16871278	17011560	48	-0.2946
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	17011669	25583341	5391	-0.0016
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	25593128	25646946	27	-1.508
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	25646986	72768916	28869	-0.0047
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	72768936	72811148	45	-0.8963
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	72811904	89000675	10695	0.0054
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	89002849	89003022	3	-1.0267
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	89003634	103164518	8974	-0.0061
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	103165230	103165281	2	-1.5471
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	103166140	104225557	436	0
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	104225568	104303403	15	0.7212
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	104303501	110232974	3607	-0.0052
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	110233037	110242953	17	1.2975
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	110244998	119863445	6492	0.0019
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	119863645	119863810	3	-0.9735
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B08_748550	1	119864586	152759678	3734	0.0405
