Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	51598	713180	38	-0.0934
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	718471	766985	15	0.5271
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	772112	4937911	1965	0.0339
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	4938953	4939240	2	-1.3105
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	4942062	16889665	6771	0.0183
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	16890117	16987221	36	0.5988
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	16987299	61886769	26847	0.0111
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	61887539	61898558	11	-0.4793
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	61899536	72535958	7289	0.003
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	72541006	72583664	46	-0.612
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	72583721	89247843	10995	-0.0015
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	89250546	89250793	2	-2.6551
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	89254112	103958859	9106	-0.001
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	103959832	104069745	30	0.3103
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	104104926	105820759	921	-9e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	105820833	105823898	15	0.8205
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	105825578	111177743	3528	0.0104
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	111178891	111189749	39	-0.8134
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	111193590	111633728	350	-0.0055
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	111635588	111636012	7	-0.5435
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	111636256	111729917	94	-0.0177
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	111730660	111734754	5	-1.1186
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	111737191	146851961	6995	0.0056
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	146894193	146903393	4	-1.3179
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	146903515	147812010	204	-0.0071
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	147815337	147884075	4	0.86
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	147884112	150822151	1488	0.0153
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	150822330	150853164	33	-1.5574
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	150853200	151024314	172	0.0057
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	151026302	151034883	33	-0.4736
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	151034905	179039331	18888	0.0026
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	179040590	179040753	2	-1.2664
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	179042285	194994473	10682	0.0022
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	194997658	194998709	3	-1.7847
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	195005246	195082414	92	0.2802
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	195083353	208137685	8821	0.0039
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	208148236	208150607	3	1.4347
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_B08_742040	1	208153175	243303558	24629	-0.0024
