GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
277de13f-02f7-4ae7-ad97-2420e88216b3	1	62920	953279	64	-0.021
277de13f-02f7-4ae7-ad97-2420e88216b3	1	965731	3305906	683	0.1203
277de13f-02f7-4ae7-ad97-2420e88216b3	1	3306063	16544783	7896	0.0453
277de13f-02f7-4ae7-ad97-2420e88216b3	1	16569132	16935752	110	0.3055
277de13f-02f7-4ae7-ad97-2420e88216b3	1	16949746	25248216	5257	0.0372
277de13f-02f7-4ae7-ad97-2420e88216b3	1	25256138	25359294	39	0.4748
277de13f-02f7-4ae7-ad97-2420e88216b3	1	25359353	72303233	28714	0.0428
277de13f-02f7-4ae7-ad97-2420e88216b3	1	72303253	72345465	45	1.1264
277de13f-02f7-4ae7-ad97-2420e88216b3	1	72346221	72977100	413	0.0236
277de13f-02f7-4ae7-ad97-2420e88216b3	1	72985507	72989897	4	0.8475
277de13f-02f7-4ae7-ad97-2420e88216b3	1	72994094	74725098	1030	0.0428
277de13f-02f7-4ae7-ad97-2420e88216b3	1	74727351	74734100	4	1.12
277de13f-02f7-4ae7-ad97-2420e88216b3	1	74737899	103616762	18571	0.0408
277de13f-02f7-4ae7-ad97-2420e88216b3	1	103620877	103621165	2	1.3214
277de13f-02f7-4ae7-ad97-2420e88216b3	1	103697067	105476583	922	0.0495
277de13f-02f7-4ae7-ad97-2420e88216b3	1	105476614	105479753	16	-2.4272
277de13f-02f7-4ae7-ad97-2420e88216b3	1	105481433	108187137	1934	0.0381
277de13f-02f7-4ae7-ad97-2420e88216b3	1	108191613	108194874	3	-1.06
277de13f-02f7-4ae7-ad97-2420e88216b3	1	108196482	109679105	693	0.0467
277de13f-02f7-4ae7-ad97-2420e88216b3	1	109684695	109697533	13	1.1407
277de13f-02f7-4ae7-ad97-2420e88216b3	1	109697556	112147704	1949	0.0482
277de13f-02f7-4ae7-ad97-2420e88216b3	1	112153343	112154552	19	0.9641
277de13f-02f7-4ae7-ad97-2420e88216b3	1	112154566	112217541	73	0.1133
277de13f-02f7-4ae7-ad97-2420e88216b3	1	112219530	118861407	4164	0.0331
277de13f-02f7-4ae7-ad97-2420e88216b3	1	118862777	152580550	3368	0.0854
277de13f-02f7-4ae7-ad97-2420e88216b3	1	152582700	152614100	36	0.3792
277de13f-02f7-4ae7-ad97-2420e88216b3	1	152614118	161647641	5462	0.0679
