GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
39cbcd82-b23e-431e-a852-37aa355a398d	1	62920	814954	31	-0.2316
39cbcd82-b23e-431e-a852-37aa355a398d	1	817186	1301762	132	0.2514
39cbcd82-b23e-431e-a852-37aa355a398d	1	1306835	2615252	344	0.417
39cbcd82-b23e-431e-a852-37aa355a398d	1	2617141	3009328	102	0.178
39cbcd82-b23e-431e-a852-37aa355a398d	1	3009991	3619360	267	0.025
39cbcd82-b23e-431e-a852-37aa355a398d	1	3621937	3692443	49	0.6016
39cbcd82-b23e-431e-a852-37aa355a398d	1	3697916	8397563	3253	-0.019
39cbcd82-b23e-431e-a852-37aa355a398d	1	8400744	8911966	276	0.0487
39cbcd82-b23e-431e-a852-37aa355a398d	1	8922847	8923700	4	0.744
39cbcd82-b23e-431e-a852-37aa355a398d	1	8923709	9266599	199	0.0065
39cbcd82-b23e-431e-a852-37aa355a398d	1	9267354	9340475	55	0.3079
39cbcd82-b23e-431e-a852-37aa355a398d	1	9342344	10567485	614	0.0622
39cbcd82-b23e-431e-a852-37aa355a398d	1	10572525	12779433	1158	-0.0257
39cbcd82-b23e-431e-a852-37aa355a398d	1	12792599	13110913	35	-0.6653
39cbcd82-b23e-431e-a852-37aa355a398d	1	13114062	15822508	1808	-0.0051
39cbcd82-b23e-431e-a852-37aa355a398d	1	15822572	15844541	20	0.7547
39cbcd82-b23e-431e-a852-37aa355a398d	1	15850269	17266821	639	-0.0147
39cbcd82-b23e-431e-a852-37aa355a398d	1	17266911	17287982	19	0.5757
39cbcd82-b23e-431e-a852-37aa355a398d	1	17290614	22892221	3688	-0.0147
39cbcd82-b23e-431e-a852-37aa355a398d	1	22893533	22898558	2	-1.5254
39cbcd82-b23e-431e-a852-37aa355a398d	1	22898657	25089191	1194	-0.0243
39cbcd82-b23e-431e-a852-37aa355a398d	1	25090270	25133783	60	0.3249
39cbcd82-b23e-431e-a852-37aa355a398d	1	25133865	25256850	62	0.0569
39cbcd82-b23e-431e-a852-37aa355a398d	1	25266637	25320198	22	-2.5419
39cbcd82-b23e-431e-a852-37aa355a398d	1	25320253	26477518	542	0.0116
39cbcd82-b23e-431e-a852-37aa355a398d	1	26477915	26546754	30	0.4076
39cbcd82-b23e-431e-a852-37aa355a398d	1	26549798	28173829	641	0.0426
39cbcd82-b23e-431e-a852-37aa355a398d	1	28176526	28186296	7	0.7499
39cbcd82-b23e-431e-a852-37aa355a398d	1	28188781	30678472	1523	-0.0066
39cbcd82-b23e-431e-a852-37aa355a398d	1	30678605	30778417	70	0.3274
39cbcd82-b23e-431e-a852-37aa355a398d	1	30778851	34626073	2138	-0.0064
39cbcd82-b23e-431e-a852-37aa355a398d	1	34637053	34638890	20	-0.5102
39cbcd82-b23e-431e-a852-37aa355a398d	1	34648667	36195212	692	-0.0213
39cbcd82-b23e-431e-a852-37aa355a398d	1	36204302	36239290	14	0.2996
39cbcd82-b23e-431e-a852-37aa355a398d	1	36240413	36390356	75	0.0078
39cbcd82-b23e-431e-a852-37aa355a398d	1	36391072	36396653	7	0.799
39cbcd82-b23e-431e-a852-37aa355a398d	1	36401633	40282247	2257	0.0162
39cbcd82-b23e-431e-a852-37aa355a398d	1	40284410	40309557	14	0.1794
39cbcd82-b23e-431e-a852-37aa355a398d	1	40315122	40326906	7	0.5961
39cbcd82-b23e-431e-a852-37aa355a398d	1	40329956	40371809	16	-0.05
39cbcd82-b23e-431e-a852-37aa355a398d	1	40372964	40433072	38	0.3156
39cbcd82-b23e-431e-a852-37aa355a398d	1	40435962	42742890	1404	-0.0087
39cbcd82-b23e-431e-a852-37aa355a398d	1	42743868	42743895	2	-1.429
39cbcd82-b23e-431e-a852-37aa355a398d	1	42745923	54741821	6588	0.0073
39cbcd82-b23e-431e-a852-37aa355a398d	1	54742081	54804458	50	0.3039
39cbcd82-b23e-431e-a852-37aa355a398d	1	54804685	59250600	3645	-0.0096
39cbcd82-b23e-431e-a852-37aa355a398d	1	59251199	59540206	176	0.0987
39cbcd82-b23e-431e-a852-37aa355a398d	1	59542843	59561832	14	0.4929
39cbcd82-b23e-431e-a852-37aa355a398d	1	59566021	59704886	82	0.1421
39cbcd82-b23e-431e-a852-37aa355a398d	1	59705602	66264796	4776	-0.0051
39cbcd82-b23e-431e-a852-37aa355a398d	1	66265030	66384222	101	0.1861
39cbcd82-b23e-431e-a852-37aa355a398d	1	66386067	72297687	3782	-0.0161
39cbcd82-b23e-431e-a852-37aa355a398d	1	72302735	72313397	12	-2.5076
39cbcd82-b23e-431e-a852-37aa355a398d	1	72313408	72346221	37	-1.5872
39cbcd82-b23e-431e-a852-37aa355a398d	1	72346757	72542484	115	-0.0414
39cbcd82-b23e-431e-a852-37aa355a398d	1	72546237	72631595	52	-0.3787
39cbcd82-b23e-431e-a852-37aa355a398d	1	72631678	76014754	2050	0.0001
39cbcd82-b23e-431e-a852-37aa355a398d	1	76019142	76161369	163	0.1615
39cbcd82-b23e-431e-a852-37aa355a398d	1	76161638	78893142	1723	-0.0091
39cbcd82-b23e-431e-a852-37aa355a398d	1	78893554	78894974	3	-1.2472
39cbcd82-b23e-431e-a852-37aa355a398d	1	78895189	79080629	99	-0.0295
39cbcd82-b23e-431e-a852-37aa355a398d	1	79080689	79088817	6	-0.8538
39cbcd82-b23e-431e-a852-37aa355a398d	1	79089642	94661129	10168	-0.0038
39cbcd82-b23e-431e-a852-37aa355a398d	1	94661145	94668626	15	-0.6453
39cbcd82-b23e-431e-a852-37aa355a398d	1	94668661	102277002	4906	-0.0098
