GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	62920	86341	11	0.6467
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	98588	16018760	8416	0.0032
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	16037445	16052921	7	0.8021
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	16063071	25256352	5579	-0.0004
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	25256800	25320455	26	0.6596
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	25336819	43011286	9668	0.0072
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	43012125	43012935	2	-2.3579
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	43020953	72302735	19061	0.0035
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	72302815	72345465	47	-0.8612
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	72346221	89009572	10939	0.0012
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	89012275	89012522	2	-3.0903
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	89015841	103560608	9062	0.0008
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	103566616	103620877	28	0.4486
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	103621165	109684893	3576	0.0047
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	109690352	109697556	13	-1.6389
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	109702376	112153950	1960	0.002
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	112153993	112154754	14	-0.5299
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	112154768	152580550	7603	0.0022
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	152582700	152613762	33	0.6291
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	152613802	169247699	11489	0.0052
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	169264736	169272528	7	-2.8427
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	169273163	195750016	17497	0.0004
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	195752611	195757853	8	-0.9705
8251507e-4b8e-48ec-84b2-2cba690ecd69	1	195762188	196829534	721	0.0053
