Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	1	3218610	4882039	1057	-0.071
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	1	4882642	4882656	2	-1.3201
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	1	4883095	21245769	8903	-0.0605
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	1	21245835	21245898	2	-1.3146
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	1	21251425	247813706	119197	0.0713
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	2	484222	113941769	59495	0.0784
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	2	113949375	114120992	91	0.3828
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	2	114122644	140617659	13127	0.0815
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	2	140621272	140622067	2	-1.1002
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	2	140622958	206723926	37005	0.079
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	2	206727366	220566980	8246	-0.2842
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	2	220567392	220567410	2	-2.3189
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	2	220568094	242476062	13335	-0.2871
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	2212571	54254258	29746	-0.2832
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	54256559	54259381	2	-1.9433
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	54260682	125367862	39063	-0.2855
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	125369303	125518613	42	0.0696
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	125520153	126109551	362	-0.2614
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	126111104	126487300	243	0.0695
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	126487533	128491056	1138	-0.2928
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	128496013	148547780	10533	0.0799
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	148549061	148549489	2	-0.9929
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	148549765	150352767	1071	0.0723
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	150357070	150361740	2	-0.9648
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	150362943	151434948	680	0.078
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	151438802	151438802	2	-1.3365
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	3	151439806	197538677	23482	0.0813
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	4	1053934	91799033	50359	0.0794
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	4	91804860	91884408	42	-0.1585
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	4	91885355	188763651	52347	0.0791
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	5	914233	33342239	19442	0.0803
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	5	33344107	33347851	3	-1.1407
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	5	33357227	118124736	43619	0.0769
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	5	118132058	118750131	373	0.3478
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	5	118754359	119058895	176	0.0933
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	5	119059050	140824129	12142	0.3606
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	5	140827234	140830355	2	-0.7817
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	5	140833077	180360469	24769	0.3628
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	6	1014281	6602763	4076	0.0838
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	6	6605863	6606182	2	1.7694
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	6	6606227	22905317	11380	0.0838
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	6	22905353	22905803	2	-1.6651
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	6	22905832	93723546	36125	0.0802
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	6	93724022	125946593	17833	-0.2882
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	6	125948785	125948988	2	-2.0451
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	6	125949665	170903919	27064	-0.2892
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	7	705284	158385118	81337	0.0728
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	8	617667	145232496	81539	0.0782
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	9	789932	33743580	20347	-0.0901
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	9	33743683	33795823	35	0.3924
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	9	33798200	140938752	47646	-0.0915
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	10	415240	135225087	80878	-0.0966
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B12_748498	11	456120	13003212	7545	-0.0915
