Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	51598	76204	15	-0.9127
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	88451	16888846	8761	0.0134
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	16889459	16920992	19	-0.6915
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	16921066	25443856	5353	0.0172
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	25447058	25534592	37	-0.4601
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	25534799	72541504	28776	0.0051
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	72541524	72583736	45	1.4471
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	72584492	74677806	1231	-0.0034
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	74679890	74679904	2	-1.1932
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	74684185	75041872	275	0.0238
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	75043660	75046454	2	-1.1233
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	75046575	78562162	2265	2e-04
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	78562379	78567620	2	-1.966
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	78571327	91927582	8946	0.0029
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	91927925	91947325	23	0.363
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	91949650	103960907	7355	-0.002
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	103965022	104041212	15	0.4602
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	104041509	105814899	931	0.0168
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	105820728	105823898	17	0.7766
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	105825578	112491849	4644	0.01
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	112497488	112498913	25	-0.6452
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	112507479	143553915	5246	0.0082
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	143560896	143560909	3	1.826
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	143576984	147496467	1245	0.0369
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	147509287	147512654	10	0.9482
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	147512899	150806782	1520	0.0067
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	150806906	150815048	8	-0.6063
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	150815085	150822151	12	0.036
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	150822330	150853218	35	1.2713
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	150857118	151026302	170	0.0212
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	151028547	151035324	37	-2.4239
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	151040529	165859156	10094	0.0069
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	165861609	165873685	4	-1.2934
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	165873964	167483561	1240	0.0121
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	167500598	167505182	4	-5.4888
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	167505355	167508390	3	-2.2254
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	167509025	179039331	7527	-0.0013
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	179040590	179040753	2	-1.8379
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	179040776	185980063	4695	0.0049
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	185981230	185991233	7	0.744
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	185991541	194998709	5978	-0.0095
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	195005246	195014533	16	-0.7066
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	195014665	195015652	5	-1.5881
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	195015804	195028689	18	-0.7577
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	195028725	195068695	50	-0.3777
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	195079130	195082414	3	-1.3678
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	1	195083353	247191011	35948	0.0058
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	2784	4181455	2987	0.0257
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	4183562	4201894	43	-0.8215
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	4207937	34536794	21081	0.0042
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	34538784	34590561	48	0.5091
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	34590667	52450481	12918	0.0126
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	52452864	52453472	2	-2.6324
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	52453813	52597429	119	-0.0044
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	52607972	52612619	15	0.5668
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	52617712	52617759	3	-0.4105
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	52617979	52634799	14	1.1805
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	52634830	78737483	16894	0.002
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	78740799	78779482	17	-0.4412
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	78780693	81407521	1900	0.0242
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	81410506	81411351	3	-1.0328
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	81412587	81666776	173	0.0021
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	81666792	81666855	2	1.2087
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	81667487	81709236	34	0.0627
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	81710437	81724811	7	-0.8006
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	81724987	87155618	3007	0.0044
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	87160459	87162774	2	-2.5067
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	87163345	97484644	2065	-0.0085
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	97507179	97528621	9	-1.5573
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	97533310	106247971	5578	0.0061
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	106248065	106251789	9	-0.9534
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	106253687	111996612	2683	0.0017
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	112004004	112112526	28	-0.372
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	112112652	114048245	1126	0.0018
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	114078485	114097291	4	-1.6379
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	114100022	117305056	1946	-0.0101
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	117306237	117306323	2	-2.1878
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	117307715	180121616	38713	0
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	180126456	180130382	30	-1.1187
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	180133888	208063200	16450	-0.0093
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	208063423	208067581	16	-1.1611
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	208067721	212889567	3042	-0.0111
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	212894794	212900070	25	-0.9608
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	212900371	241121679	18391	0.0105
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	241122111	241293484	64	0.5624
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	241293607	242432069	476	0.0344
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	242564139	242607480	51	-1.1824
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	242608697	242608717	3	0.4987
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	242620909	242686302	63	-1.1298
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	2	242686327	242738129	25	-0.1393
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	3	35345	20288129	15232	-0.6982
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	3	20290126	20303085	3	-3.029
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	3	20310916	42651352	15445	-0.7015
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	3	42652840	42652918	2	-3.2664
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	3	42656504	63128810	12742	-0.7089
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	3	63129481	63167144	30	0.06
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	3	63168145	63187637	7	-0.6452
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	3	63188083	63197237	9	-0.026
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	3	63200574	63211488	15	-0.8674
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	3	63216000	63285753	67	-0.0262
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	3	63285785	63344660	51	-0.6974
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	3	63345202	63603453	226	0.0181
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	3	63612130	64923168	1102	-0.7575
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	3	64929465	67046508	1541	0.0228
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804	3	67066369	67237636	124	-0.718
