Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	61735	229173	22	-0.6637
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	229619	17217907	8820	-0.0542
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	17224970	17277940	53	0.3414
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	17282425	22147279	3253	-0.0704
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	22151649	22160257	4	-1.3571
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	22164164	25583341	2012	-0.0531
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	25593128	25663344	33	-0.385
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	25673154	30738432	2395	-0.0682
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	30738504	30741496	6	-1.3494
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	30741656	72768916	26455	-0.0664
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	72768936	72811148	45	-1.7744
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	72811904	100369773	17834	-0.0285
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	100372055	100372070	2	-1.6542
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	100372242	102691323	1521	-0.0024
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	102695228	102732441	25	0.3565
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	102732690	104158309	709	0.0036
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	104159347	104303403	30	-0.8589
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	104303501	106013376	919	-0.0457
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	106019205	106022375	17	0.8271
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	106024055	110221727	2656	-0.0129
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	110224384	110227515	15	-0.7059
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	110232974	110240178	17	-1.8613
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	110242953	112690326	1959	-0.0108
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	112695965	112697213	22	-2.3037
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	112697241	121340237	5186	-0.0215
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	121343796	144885044	83	-0.286
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	144887375	145235251	176	-0.0259
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	145235261	145276271	9	-0.9615
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	145276470	148585337	888	-0.0265
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	148627569	148627842	3	-1.556
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	148636769	148870937	22	-0.054
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	148893345	149290775	154	-0.635
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	149291599	149739073	56	-0.293
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	149748542	150673482	420	0.0372
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	150673582	150674447	7	-0.6536
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	150676281	150740724	28	0.0576
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	150740775	150741605	2	-1.2898
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	150745012	150798280	35	0.0844
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	150800484	150811295	13	0.4509
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	150811425	152555176	962	-0.0162
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	152555527	152586540	34	0.527
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	152586576	161471384	5478	-0.0105
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	161476501	161656498	68	0.3193
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	161658658	193155706	21825	-0.0173
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	193155792	193156348	5	1.0957
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	193159723	196714873	2403	-0.0221
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	196727850	196761820	42	-2.0925
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	196762066	196815791	54	-1.1041
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	196816730	202567553	3699	-0.012
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	202567713	202567786	2	1.3294
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	202568542	217172392	10073	-0.0206
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	217173290	217174128	3	-1.8749
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	217175860	240192359	16073	-0.0149
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	240197007	240206057	7	-0.9584
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	1	240206612	249224388	6114	-0.0053
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	12784	13534976	10199	0.0107
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	13536934	13549672	5	0.9098
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	13549728	14703694	851	0.0121
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	14704949	14710092	12	-1.413
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	14710364	32696845	11573	0.0029
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	32697836	32697911	2	1.5172
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	32699715	34701394	1479	0.014
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	34701583	34737556	46	0.5365
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	34738032	38954419	3199	0.0194
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	38954495	38972281	9	0.7898
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	38972826	52754865	9843	0.0067
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	52754881	52781522	33	0.5517
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	52781542	85332445	20985	0.0042
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	85332460	85333406	2	-1.7952
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	85333976	87493132	1139	-0.0082
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	87493471	87520356	10	-0.8739
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	87521205	87815648	49	-0.0267
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	87815681	87819818	3	-1.6778
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	87820983	89975620	714	-0.0047
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	89995037	89999062	2	1.8009
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	90001943	106138125	6122	-0.0322
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	106138812	106140211	3	1.0343
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F01_697686	2	106140282	108209995	1506	-0.0235
