Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	51598	218569	18	-0.3884
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	218592	16769408	8705	0.0203
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	16776313	16836132	21	-0.3878
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	16836310	25465715	5407	0.0174
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	25468468	25519573	27	0.5217
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	25534088	72541086	28743	0.0189
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	72541504	72585028	48	-0.6219
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	72589343	103958840	20077	0.0137
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	103958859	104069745	31	0.5702
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	104104926	110034497	3605	0.0265
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	110034560	110044476	17	-1.1793
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	110046521	110230637	131	-0.0194
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	110232543	110235444	4	-0.6185
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	110237332	111177743	701	0.0117
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	111178891	111180854	13	-0.7867
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	111180862	111189749	26	-0.4029
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	111193590	112491849	1077	0.0164
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	112497488	112498913	25	0.5556
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	112507479	143560896	5241	0.0253
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	143560901	143591466	12	-0.5554
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	143591512	150822151	2785	0.0148
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	150822330	150853218	35	-1.3543
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	150857118	159763524	5471	0.0199
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	159763944	159917118	58	0.311
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	159917245	194963360	24179	0.0205
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	194964865	195089940	118	0.2514
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	1	195090236	247191011	35908	0.0155
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	2784	34555087	24091	0.0105
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	34555129	34590561	42	0.4822
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	34590667	37835796	2449	0.0241
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	37836779	37861488	38	-0.3219
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	37861754	52608369	10545	0.0108
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	52608385	52635046	34	0.3603
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	52641453	97383927	24054	0.0123
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	97383943	97528621	20	-0.3982
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	97533310	108943270	7197	0.0196
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	108944945	108952869	12	-1.2228
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	108954788	129354548	11819	0.0148
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	129354948	129356785	15	-0.4723
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	129356799	146578555	10470	0.0117
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	146580874	146583404	24	-1.0912
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	146594276	164345098	10592	0.0144
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	164351734	164353372	5	-1.0718
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	2	164354888	242738129	48485	0.0166
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	35345	6621543	5830	0.0076
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	6626128	6628332	23	-0.6116
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	6630078	26588205	14189	0.0098
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	26589978	26589989	8	-0.6801
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	26590953	30166127	2476	0.0127
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	30167548	30167569	2	-1.1795
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	30167781	46768381	10676	0.0132
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	46776821	46822620	38	-1.7749
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	46824183	60472146	7999	0.0198
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	60472977	60473212	3	-1.092
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	60473927	68828854	6549	0.0142
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	68828949	68830103	14	-0.9179
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	68831448	100420474	15948	0.0137
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	100427148	100433654	39	-0.4358
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	100434073	129874479	18086	0.015
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	129877195	129895021	11	0.7257
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	129896851	131268899	631	-0.0182
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	131268976	131288926	45	0.5048
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	131289614	163995786	20270	0.0134
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	163995843	164007552	9	-1.8807
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	164011324	164108689	58	-0.8494
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	164109266	173270465	5387	0.0238
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	173273917	173274810	3	-1.3518
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	173275407	190843448	11284	0.0138
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	190846372	190855045	14	-0.5019
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	190855057	194356286	2491	0.0193
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	194356356	194363420	14	0.4224
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	194363525	196875861	1496	0.0224
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	196884256	196960434	44	-0.5122
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	196964365	198825243	921	0.0382
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	198832985	198870700	4	-1.0912
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	3	198882613	199380515	245	0.0079
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	2281	25359	21	-0.483
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	25834	56719	37	-0.8667
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	58821	3569248	1452	0.0259
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	3569667	3571982	2	-2.1728
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	3579188	9079832	3734	0.0151
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	9080356	9088443	5	-0.7672
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	9095185	9819488	545	-0.0166
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	9823258	9844366	36	-1.4343
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	9845240	9999813	171	0.0083
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	10001452	10009766	16	0.531
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	10011816	20953237	7994	0.0158
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	20954338	20958972	2	-1.2107
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	20959990	32180961	7539	0.0163
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	32183075	32190319	6	0.6262
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	32191577	34455370	1245	0.0094
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	34455399	34501120	42	0.6132
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	34506267	39380158	3320	0.0166
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	39380592	39389728	8	-0.6165
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	39389883	40398768	553	0.0151
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	40398902	40398949	2	-1.6728
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	40399444	48962541	5093	0.0075
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	48962605	48986112	3	-1.9026
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	48991977	58202835	3967	0.012
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	58202854	58202932	3	-1.3971
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	58207096	59724645	933	0.0166
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	59724809	59724935	2	-1.1385
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	59725151	61619533	1185	0.0103
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	61623530	61624547	2	-1.5385
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	61628281	64388110	1517	0.0184
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	64388123	64399026	15	-0.366
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	64399621	66271146	1210	0.0198
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	66274333	66312360	40	0.5488
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	66312580	68927029	1600	0.0292
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	68937665	69168574	87	0.3715
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	69171930	70158099	332	0.0232
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	70162233	70270740	57	-0.401
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	70273685	86862766	10184	0.0157
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	86862881	86863126	3	-1.0778
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	86863154	108724083	13015	0.0154
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	108728097	108729264	2	-1.5875
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	108729604	115393149	4118	0.011
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	115394772	115401624	23	0.5072
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	115403678	138158151	13136	0.0192
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_G02_730518	4	138158165	138165819	23	0.4025
