GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3ea29919-e967-4138-86c6-0f7c85e71592	1	62920	787937	25	0.7521
3ea29919-e967-4138-86c6-0f7c85e71592	1	793228	901366	31	0.0425
3ea29919-e967-4138-86c6-0f7c85e71592	1	901705	3301765	676	-0.3652
3ea29919-e967-4138-86c6-0f7c85e71592	1	3302046	12778601	5717	-0.4669
3ea29919-e967-4138-86c6-0f7c85e71592	1	12779433	13391364	50	0.0932
3ea29919-e967-4138-86c6-0f7c85e71592	1	13397641	16488499	2089	-0.4792
3ea29919-e967-4138-86c6-0f7c85e71592	1	16489035	16785682	63	0.1007
3ea29919-e967-4138-86c6-0f7c85e71592	1	16787932	16915871	29	-0.5024
3ea29919-e967-4138-86c6-0f7c85e71592	1	16918718	16921903	10	-1.2867
3ea29919-e967-4138-86c6-0f7c85e71592	1	16926880	21944210	3318	-0.4444
3ea29919-e967-4138-86c6-0f7c85e71592	1	21944482	21970933	14	-1.1154
3ea29919-e967-4138-86c6-0f7c85e71592	1	21971792	25082867	1791	-0.4496
3ea29919-e967-4138-86c6-0f7c85e71592	1	25085364	25120965	29	-0.9864
3ea29919-e967-4138-86c6-0f7c85e71592	1	25121001	25266637	100	-0.4457
3ea29919-e967-4138-86c6-0f7c85e71592	1	25269390	25320455	23	-1.356
3ea29919-e967-4138-86c6-0f7c85e71592	1	25336819	34626073	4924	-0.4518
3ea29919-e967-4138-86c6-0f7c85e71592	1	34637053	34637435	6	-1.8682
3ea29919-e967-4138-86c6-0f7c85e71592	1	34637541	34637909	4	0.1094
3ea29919-e967-4138-86c6-0f7c85e71592	1	34638226	34638890	10	-2.2635
3ea29919-e967-4138-86c6-0f7c85e71592	1	34648667	72284670	23643	-0.4658
3ea29919-e967-4138-86c6-0f7c85e71592	1	72290430	72297687	9	-2.5054
3ea29919-e967-4138-86c6-0f7c85e71592	1	72302735	72345465	48	0.8614
3ea29919-e967-4138-86c6-0f7c85e71592	1	72346221	75585159	1922	-0.4736
3ea29919-e967-4138-86c6-0f7c85e71592	1	75589078	75589169	2	-4.0355
3ea29919-e967-4138-86c6-0f7c85e71592	1	75593824	105470754	18972	-0.482
3ea29919-e967-4138-86c6-0f7c85e71592	1	105476583	105479753	17	-1.8279
3ea29919-e967-4138-86c6-0f7c85e71592	1	105481433	109690352	2624	-0.4899
3ea29919-e967-4138-86c6-0f7c85e71592	1	109690415	109697556	12	-1.9261
3ea29919-e967-4138-86c6-0f7c85e71592	1	109702376	112145689	1938	-0.4606
