Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	51598	52783	5	-1.3813
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	52800	740197	39	0.3898
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	742429	12757167	6451	-0.6301
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	12758455	13648659	101	-0.0354
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	13649415	16724101	2093	-0.6651
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	16741950	16878363	45	0.3078
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	16878565	25455216	5359	-0.6328
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	25455266	25558372	45	0.1074
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	25558431	72541504	28602	-0.6627
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	72541524	72583736	45	-1.589
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	72584492	89247843	10895	-0.7176
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	89250546	89250793	2	-3.7092
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	89254112	102490624	8336	-0.6966
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	102491523	102495511	2	-3.9773
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	102495570	103960907	714	-0.7151
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	103965022	104062729	26	0.2183
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	104069745	105820893	915	-0.7404
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	105821006	105823867	11	0.1987
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	105823883	108531282	1916	-0.7259
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	108535758	108539019	3	-3.3899
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	108540627	112491849	2684	-0.6632
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	112497488	112507736	37	-1.3465
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	112507741	119911597	4692	-0.6865
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	119911780	119927527	32	0.0613
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	119927900	121057404	418	-0.5721
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	121137742	121148659	2	2.2933
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	121184502	143261286	51	-0.3415
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	143266542	143579717	11	0.7894
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	143580441	146294445	1057	-0.5847
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	146295850	147308346	65	-0.1222
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	147308430	147521544	126	-1.6284
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	147523315	147689083	29	-0.6716
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	147689241	147980413	27	-0.0305
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	147980495	150819115	1452	-0.6071
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	150819378	150853218	40	0.4457
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	150857118	151026302	170	-0.6173
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	151028547	151040529	38	-0.0051
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	151043379	156842724	3337	-0.632
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	156845314	156847383	2	-4.5493
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	156847511	191705668	23859	-0.6894
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	191705798	191706105	2	-4.0951
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	191710324	194981445	2133	-0.7181
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	194981496	195055624	52	0.0273
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	195055667	195056892	10	-0.8108
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	195057018	195068428	28	-0.1012
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	195068473	197377986	1379	-0.689
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	197378049	197381370	11	-2.3735
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	197381445	206504444	5995	-0.6654
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	206505607	206523560	31	0.2692
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	206524332	223547590	11751	-0.7084
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	223550902	223589273	29	0.1745
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	223593215	238561691	10713	-0.6974
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	238563145	238564221	3	-4.1017
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	238564852	238705672	113	-0.7002
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	238707526	238709353	2	-3.6272
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	238709807	241108890	1832	-0.7216
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	241110930	241126377	39	-0.0517
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	241126383	241191134	36	-0.682
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	241195975	241359750	32	0.3244
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	1	241361605	247191011	3724	-0.6487
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	2784	286789	182	0.2303
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	286812	286852	2	-2.1545
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	290879	4175164	2798	0.1105
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	4176616	4201442	45	0.4784
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	4201570	34570440	21088	0.0734
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	34570483	34591536	31	0.7096
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	34594143	52608385	13048	0.0693
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	52612257	52643644	35	-0.5829
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	52643997	57248406	3347	0.0621
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	57255548	57298975	69	1.2746
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	57300902	86959387	18577	0.0684
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	86961722	87999858	231	0.3864
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	88006606	88942635	507	0.0799
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	88942676	94698533	446	0.3908
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	94705115	96419322	537	0.1074
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	96422756	96453615	18	0.4541
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	96454520	97128837	273	0.0906
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	97129288	97556581	95	0.504
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	97570301	106060509	5430	0.0773
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	106062121	106064470	2	-1.7872
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	106070426	106232932	123	0.0487
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	106233055	106253840	25	0.6996
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	106254302	130496623	14332	0.074
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	130496717	130590958	23	1.0178
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	130591346	131946343	445	0.1747
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	131949934	131995795	18	0.5848
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	131997306	132223210	116	0.0331
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	132225589	132276851	6	1.069
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	132288063	136179131	2437	0.0873
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	136179301	136181435	3	-1.6278
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	136181612	140465912	2779	0.0615
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	140466438	140467370	3	1.6483
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	140470372	143075027	1766	0.0497
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	143077099	143077265	3	-1.486
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	143077307	146578555	2004	0.0676
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	146580874	146583379	23	0.8628
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	146583404	208130572	37043	0.0613
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	208132792	208133708	2	-2.5264
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	208134502	209254681	721	0.0506
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	209254685	209254690	2	1.9914
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	209254909	212889567	2274	0.0539
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	212894794	212900070	25	-1.1524
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	212900371	234551169	13866	0.0754
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	234551431	234555358	3	-1.7337
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	234555794	242692808	5180	0.0904
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_H05_697770	2	242694139	242738129	18	0.7493
