Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	61735	25583341	14171	-0.0018
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	25593128	25646946	27	-2.2637
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	25646986	39959701	7638	-0.0059
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	39963260	39975142	8	-0.808
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	39982457	58482316	11196	-0.004
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	58482341	58483220	5	-0.8994
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	58484277	76050844	12001	-0.0034
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	76054763	76054854	2	-3.8018
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	76059509	104163787	18164	0.0035
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	104178038	104303403	26	-0.9853
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	104303501	106019236	921	0.0012
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	106019310	106024090	18	-0.4533
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	106024137	108928460	2016	0.0068
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	108929977	108985773	8	-0.674
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	108986181	112690326	2619	7e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	112695965	112697390	25	0.5661
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	112705956	144545755	5238	-0.0083
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	144546946	144876745	18	-0.6328
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	144876896	152555176	2790	-0.0155
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	152555527	152586594	36	1.3322
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	152590494	152761923	172	5e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	152761939	152773905	37	0.54
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	152776755	158866573	3619	0.003
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	158868501	158869759	2	2.7434
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	158874818	194448234	24488	-5e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	194451411	194455018	2	1.9478
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	194457016	196714822	1453	-0.0064
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	196714873	196801850	91	0.3012
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	196801987	199111363	1387	-0.0103
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	199111426	199113840	8	-0.9371
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	199114238	210071062	7435	-0.0013
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	210081613	210083984	3	-2.3488
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	210086552	243039768	23280	-3e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	243042267	243064142	56	-0.273
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	1	243065369	249224388	3806	0.0015
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	12784	15853120	11894	0.0013
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	15853622	15854600	2	-1.6209
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	15856780	34519448	12129	0.0011
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	34520473	34525580	3	-1.1536
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	34525967	34699315	96	0.0069
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	34701394	34737163	46	-0.4408
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	34737556	35975973	877	-0.0019
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	35977790	35987947	7	0.7783
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	35997473	41238235	3944	-0.0045
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	41238443	41243427	20	-0.75
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	41243455	46372174	3782	0.0014
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	46373275	46373395	2	-1.2839
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	46373529	49533042	2129	-0.0011
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	49535768	49545041	6	-0.9572
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	49545818	52754865	2285	0.0088
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	52754881	52781412	30	0.5105
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	52781497	146862085	53661	-0.0012
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	146864404	146877806	25	0.6848
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	146878395	153787485	4205	-0.0011
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	153796068	153796784	3	-2.368
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	153800569	184009676	18627	3e-04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	184009971	184010207	3	-1.1504
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	184011989	208354955	14178	0.0014
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_F04_697742	2	208355178	208359336	16	-0.9607
