Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	1	3208470	245880329	129079	0.046
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	2	474222	109132599	57849	0.0402
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	2	109133128	109135060	3	-1.1212
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	2	109135897	134054460	11404	0.0298
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	2	134055617	134056234	2	-1.572
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	2	134059403	242124735	62036	-0.0098
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	3	526235	10553991	4774	-0.4352
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	3	10558375	10697393	124	-0.1691
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	3	10697667	85839912	43748	-0.4237
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	3	85841876	199023074	57715	0.0401
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	4	1043934	189836143	102741	0.0405
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	5	967233	7783872	4833	0.0468
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	5	7785193	7970137	131	0.5462
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	5	7974873	56751158	25044	0.0419
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	5	56751461	56752214	2	-0.9206
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	5	56755244	83354744	14699	0.0039
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	5	83355598	84511360	575	0.3398
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	5	84514033	86330425	924	-0.0171
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	5	86330632	88637460	1151	0.3436
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	5	88638803	89923555	631	-0.0021
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	5	89925630	114784354	13060	0.3451
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	5	114784536	114784761	5	-0.449
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	5	114786977	180293075	39454	0.3584
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	6	959281	170745844	96480	0.0381
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	7	671810	158077879	81316	0.0337
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	8	607667	145304484	81533	0.0549
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	9	779932	140058573	67973	-0.4116
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	10	405240	65688311	37979	0.0351
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	10	65688324	65688411	2	-1.6059
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	10	65690342	135075077	42886	0.0334
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	11	446120	133647740	77252	0.0423
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	12	760163	10033835	4996	0.0449
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	12	10034164	10034870	3	-0.8691
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	12	10038871	131671419	68948	0.0417
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	13	18348806	114005560	56655	0.0427
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	14	19571208	92493184	41999	-0.4164
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	14	92493982	92493984	2	-2.6531
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	14	92496564	105059083	7418	-0.4175
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	15	21238778	99701830	44528	0.0516
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	16	593460	87907437	40852	0.0507
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	17	933971	27856473	12055	0.0482
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	17	27859946	27860064	2	-1.3176
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	17	27860469	78510305	24928	0.0498
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	18	319586	75210228	42665	0.0622
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	19	235018	63570038	23947	0.0508
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	20	403764	22908446	15134	0.0475
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	20	22909029	22910231	2	-1.1988
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	20	22912377	51357376	15146	0.062
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	20	51357482	51358916	4	-0.8557
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	20	51359242	61690281	6997	0.0584
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F09_742074	21	14269492	46503202	20585	0.0433
