GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	62920	599171	20	0.2216
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	668210	5185758	2137	-0.4682
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	5186566	5187295	3	-3.9462
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	5190437	15823420	6174	-0.4927
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	15827002	15827430	6	-1.4117
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	15827706	16525019	301	-0.429
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	16542868	17016429	142	-0.1482
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	17018588	20736061	2648	-0.4811
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	20740508	20741013	2	-2.0454
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	20745474	25092208	2460	-0.4748
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	25096910	25097831	2	-2.1149
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	25098398	25129401	32	-0.3542
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	25129421	25132208	5	-1.3154
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	25132863	25133624	16	-0.0613
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	25133677	25244778	57	-0.4832
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	25247980	25256138	3	0.1037
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	25256188	25320198	26	-1.2261
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	25320253	34626073	4953	-0.4737
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	34637053	34638890	20	-1.4591
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	34648667	46983393	6800	-0.4772
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	46995797	46997147	2	-2.1155
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	46997635	53098914	3244	-0.4922
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	53102049	55965069	2058	-0.5137
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	55965169	55966915	2	-2.0853
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	55969038	71980481	11433	-0.5285
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	71983116	71984255	3	-2.6033
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	71989215	75585159	2182	-0.5428
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	75589078	75589169	2	-3.4541
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	75593824	103616762	18085	-0.5392
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	103620877	103717410	5	0.8929
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	103717617	105458984	915	-0.5326
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	105459522	105481448	23	-0.0299
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	105481468	109690352	2633	-0.5375
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	109690415	109697556	12	-1.5993
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	109702376	110753066	757	-0.505
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	110753326	110754030	2	-2.2431
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	110754259	112153343	1192	-0.5004
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	112153465	112163334	25	0.1864
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	112163438	115332310	2000	-0.5051
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	115333024	115333588	2	-2.6404
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	115334901	119816579	2933	-0.529
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	119817520	152583051	2667	-0.466
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	152583230	152613762	31	-2.3381
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	152613802	152787202	170	-0.4835
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	152789447	152796094	36	0.02
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	152796224	156098051	1721	-0.4589
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	156108458	203174267	31844	-0.5231
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	203176173	203176865	2	-2.6827
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	203177038	206603613	2166	-0.4887
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	206605975	206610114	4	-1.6288
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	206611170	207840275	804	-0.4933
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	207841577	212657249	3579	-0.5341
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	212657278	212657619	2	-2.216
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	212668988	217536548	3554	-0.5486
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	217537191	217537218	2	-2.1534
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	217546221	223455032	3911	-0.5385
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	223455061	225472113	1275	-0.4981
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	225472312	225482445	11	-1.2303
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	225482541	230468076	3062	-0.5075
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	230470357	230470432	2	-2.4368
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	230478364	236524796	4444	-0.5248
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	236526268	242712151	5011	-0.5668
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	242712750	248032111	3476	-0.5182
366e1c2f-f880-420c-9f72-b4aa77cd4259	1	248032466	248930189	435	-0.4482
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	12784	1935550	1262	0.0987
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	1936347	4170511	1738	0.0637
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	4170710	4172349	13	0.5118
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	4172353	7034761	2476	0.0503
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	7035474	12470286	4105	0.0838
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	12470974	23564415	7942	0.055
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	23564853	34474248	6564	0.0855
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	34476327	34511990	45	0.7424
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	34512096	35750907	872	0.0627
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	35752724	35762850	6	1.2455
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	35762881	52538254	12148	0.0676
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	52538282	52554157	11	-0.8777
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	52554188	68291958	10381	0.0558
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	68292412	68650322	224	0.1468
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	68650833	68654481	3	-0.9481
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	68655815	75304617	3970	0.088
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	75304722	86901078	7419	0.0506
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	86902080	86910262	2	-1.7861
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	86934730	87225631	46	0.0535
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	87228594	87465499	44	0.3836
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	87466706	88833611	516	0.0616
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	88834118	90203604	297	0.1825
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	90203619	97359885	962	0.0942
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	97524284	97545726	9	-1.2097
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	97550415	106264257	5572	0.0752
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	106265083	106268901	10	0.9447
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	106270799	117166589	5933	0.0743
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	117167971	117292960	67	0.4648
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	117294036	146104517	17832	0.0583
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	146106836	146109366	24	-2.0205
366e1c2f-f880-420c-9f72-b4aa77cd4259	2	146120238	242147305	59091	0.0611
366e1c2f-f880-420c-9f72-b4aa77cd4259	3	20930	182919	154	0.0278
366e1c2f-f880-420c-9f72-b4aa77cd4259	3	188339	191117	4	-0.8983
366e1c2f-f880-420c-9f72-b4aa77cd4259	3	193194	9341279	8074	0.0544
