GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5fe36d82-9338-466d-906b-e03806ab46d2	1	62920	98588	12	-0.9157
5fe36d82-9338-466d-906b-e03806ab46d2	1	98602	968658	54	-0.0114
5fe36d82-9338-466d-906b-e03806ab46d2	1	969227	3306063	682	0.1168
5fe36d82-9338-466d-906b-e03806ab46d2	1	3306087	16864367	7956	0.0085
5fe36d82-9338-466d-906b-e03806ab46d2	1	16868660	16949746	53	-0.3377
5fe36d82-9338-466d-906b-e03806ab46d2	1	16951445	25256850	5263	0.0111
5fe36d82-9338-466d-906b-e03806ab46d2	1	25266637	25319167	20	-1.393
5fe36d82-9338-466d-906b-e03806ab46d2	1	25319693	28067139	1166	0.0097
5fe36d82-9338-466d-906b-e03806ab46d2	1	28071993	28074213	2	-1.2928
5fe36d82-9338-466d-906b-e03806ab46d2	1	28074367	30265508	1224	0.0134
5fe36d82-9338-466d-906b-e03806ab46d2	1	30265585	30266949	6	-1.0138
5fe36d82-9338-466d-906b-e03806ab46d2	1	30268649	33395532	1608	0.0176
5fe36d82-9338-466d-906b-e03806ab46d2	1	33396916	33398095	3	-1.1175
5fe36d82-9338-466d-906b-e03806ab46d2	1	33398209	34637053	947	-0.0041
5fe36d82-9338-466d-906b-e03806ab46d2	1	34637069	34638890	19	-2.5681
5fe36d82-9338-466d-906b-e03806ab46d2	1	34648667	72302815	23766	0.0158
5fe36d82-9338-466d-906b-e03806ab46d2	1	72303233	72345465	46	0.9973
5fe36d82-9338-466d-906b-e03806ab46d2	1	72346221	81171201	5580	0.0107
5fe36d82-9338-466d-906b-e03806ab46d2	1	81173488	81174024	3	-1.2226
5fe36d82-9338-466d-906b-e03806ab46d2	1	81174735	105476748	15367	0.0092
5fe36d82-9338-466d-906b-e03806ab46d2	1	105476861	105479738	12	0.7212
5fe36d82-9338-466d-906b-e03806ab46d2	1	105479753	107112980	1083	0.0222
5fe36d82-9338-466d-906b-e03806ab46d2	1	107113237	107120873	10	-0.9144
5fe36d82-9338-466d-906b-e03806ab46d2	1	107122811	121597150	8686	0.0171
5fe36d82-9338-466d-906b-e03806ab46d2	1	121598439	144932423	147	-0.6121
5fe36d82-9338-466d-906b-e03806ab46d2	1	145642976	152583051	2296	0.0088
5fe36d82-9338-466d-906b-e03806ab46d2	1	152583230	152614064	33	0.4318
5fe36d82-9338-466d-906b-e03806ab46d2	1	152614100	152787202	169	0.0201
5fe36d82-9338-466d-906b-e03806ab46d2	1	152789447	152796224	37	0.4474
5fe36d82-9338-466d-906b-e03806ab46d2	1	152801429	155210675	1341	0.0267
5fe36d82-9338-466d-906b-e03806ab46d2	1	155219369	155231273	11	0.6174
5fe36d82-9338-466d-906b-e03806ab46d2	1	155241876	219226452	43454	0.017
5fe36d82-9338-466d-906b-e03806ab46d2	1	219229085	219229423	3	-1.1971
5fe36d82-9338-466d-906b-e03806ab46d2	1	219231724	228667018	5827	0.0224
5fe36d82-9338-466d-906b-e03806ab46d2	1	228671781	228671795	2	-1.2946
5fe36d82-9338-466d-906b-e03806ab46d2	1	228672619	248930189	14681	0.0151
5fe36d82-9338-466d-906b-e03806ab46d2	2	12784	52425224	37031	0.0105
5fe36d82-9338-466d-906b-e03806ab46d2	2	52425469	52472318	34	-1.1829
5fe36d82-9338-466d-906b-e03806ab46d2	2	52473130	52527743	63	-0.0375
5fe36d82-9338-466d-906b-e03806ab46d2	2	52531615	52554404	33	0.6216
5fe36d82-9338-466d-906b-e03806ab46d2	2	52560811	59964749	5227	0.0137
5fe36d82-9338-466d-906b-e03806ab46d2	2	59965523	59977434	10	-0.5305
5fe36d82-9338-466d-906b-e03806ab46d2	2	59979419	68420689	5247	0.0124
5fe36d82-9338-466d-906b-e03806ab46d2	2	68422166	68424631	2	-1.0875
5fe36d82-9338-466d-906b-e03806ab46d2	2	68426734	73919850	3202	0.016
5fe36d82-9338-466d-906b-e03806ab46d2	2	73920500	73920691	2	-1.321
5fe36d82-9338-466d-906b-e03806ab46d2	2	73923129	97069220	10080	0.003
5fe36d82-9338-466d-906b-e03806ab46d2	2	97078611	97192190	46	-0.7825
5fe36d82-9338-466d-906b-e03806ab46d2	2	97199600	97350393	17	-0.0751
5fe36d82-9338-466d-906b-e03806ab46d2	2	97350874	97545726	19	-1.0349
5fe36d82-9338-466d-906b-e03806ab46d2	2	97550415	105774697	5151	0.0136
5fe36d82-9338-466d-906b-e03806ab46d2	2	105774715	105774881	2	-1.5909
5fe36d82-9338-466d-906b-e03806ab46d2	2	105775456	106265177	416	0.008
5fe36d82-9338-466d-906b-e03806ab46d2	2	106266773	106268523	6	-0.8232
5fe36d82-9338-466d-906b-e03806ab46d2	2	106268557	113604438	3786	0.0104
5fe36d82-9338-466d-906b-e03806ab46d2	2	113604837	113604839	2	-1.9851
5fe36d82-9338-466d-906b-e03806ab46d2	2	113623244	122719438	5705	0.0108
5fe36d82-9338-466d-906b-e03806ab46d2	2	122722323	122724665	8	-0.7345
5fe36d82-9338-466d-906b-e03806ab46d2	2	122726077	146103878	14313	0.0081
5fe36d82-9338-466d-906b-e03806ab46d2	2	146104517	146109230	23	0.4514
5fe36d82-9338-466d-906b-e03806ab46d2	2	146109341	154033296	4884	0.0139
