GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d628540a-880a-4e39-ac85-fe5b31f7194e	1	62920	98588	12	0.9914
d628540a-880a-4e39-ac85-fe5b31f7194e	1	98602	3301765	725	0.2665
d628540a-880a-4e39-ac85-fe5b31f7194e	1	3302046	9244672	3918	0.0179
d628540a-880a-4e39-ac85-fe5b31f7194e	1	9247978	9327788	49	0.34
d628540a-880a-4e39-ac85-fe5b31f7194e	1	9328019	9713660	180	0.0083
d628540a-880a-4e39-ac85-fe5b31f7194e	1	9714660	9729792	7	0.6673
d628540a-880a-4e39-ac85-fe5b31f7194e	1	9734247	12778601	1594	0.0116
d628540a-880a-4e39-ac85-fe5b31f7194e	1	12779433	13326062	42	0.598
d628540a-880a-4e39-ac85-fe5b31f7194e	1	13338980	15823420	1807	0.0173
d628540a-880a-4e39-ac85-fe5b31f7194e	1	15827002	15828471	9	1.0052
d628540a-880a-4e39-ac85-fe5b31f7194e	1	15828515	16488499	289	-0.0035
d628540a-880a-4e39-ac85-fe5b31f7194e	1	16489035	17003142	145	0.3475
d628540a-880a-4e39-ac85-fe5b31f7194e	1	17003654	21307474	2914	0.0121
d628540a-880a-4e39-ac85-fe5b31f7194e	1	21310303	21314008	10	0.6095
d628540a-880a-4e39-ac85-fe5b31f7194e	1	21314072	21820786	306	0.0312
d628540a-880a-4e39-ac85-fe5b31f7194e	1	21825156	21825701	2	1.6795
d628540a-880a-4e39-ac85-fe5b31f7194e	1	21833618	25256850	2008	0.0347
d628540a-880a-4e39-ac85-fe5b31f7194e	1	25266637	25320455	24	0.8823
d628540a-880a-4e39-ac85-fe5b31f7194e	1	25336819	25390874	24	0.2231
d628540a-880a-4e39-ac85-fe5b31f7194e	1	25393020	25393108	2	-2.1415
d628540a-880a-4e39-ac85-fe5b31f7194e	1	25396759	27052980	707	0.0007
d628540a-880a-4e39-ac85-fe5b31f7194e	1	27053459	27053461	2	1.5103
d628540a-880a-4e39-ac85-fe5b31f7194e	1	27054388	30673002	2002	0.0242
d628540a-880a-4e39-ac85-fe5b31f7194e	1	30676109	30765649	68	0.3513
d628540a-880a-4e39-ac85-fe5b31f7194e	1	30768199	31244722	245	-0.0053
d628540a-880a-4e39-ac85-fe5b31f7194e	1	31249109	31249774	4	-0.9811
d628540a-880a-4e39-ac85-fe5b31f7194e	1	31251897	34622883	1894	0.0136
d628540a-880a-4e39-ac85-fe5b31f7194e	1	34625857	34652430	29	0.4739
d628540a-880a-4e39-ac85-fe5b31f7194e	1	34652681	37386112	1457	0.0085
d628540a-880a-4e39-ac85-fe5b31f7194e	1	37387369	37455442	45	0.3768
d628540a-880a-4e39-ac85-fe5b31f7194e	1	37457798	39638912	1194	0.0166
d628540a-880a-4e39-ac85-fe5b31f7194e	1	39648952	39702915	32	0.3707
d628540a-880a-4e39-ac85-fe5b31f7194e	1	39703002	54769610	8411	0.0094
d628540a-880a-4e39-ac85-fe5b31f7194e	1	54769918	54808979	23	0.5129
d628540a-880a-4e39-ac85-fe5b31f7194e	1	54809137	72323042	12612	0.0055
d628540a-880a-4e39-ac85-fe5b31f7194e	1	72323161	72345450	26	-0.5747
d628540a-880a-4e39-ac85-fe5b31f7194e	1	72345465	76434290	2592	0.0055
d628540a-880a-4e39-ac85-fe5b31f7194e	1	76435133	76435507	2	-2.5087
d628540a-880a-4e39-ac85-fe5b31f7194e	1	76439667	103620877	17434	0.0007
d628540a-880a-4e39-ac85-fe5b31f7194e	1	103621165	103717617	5	1.4878
d628540a-880a-4e39-ac85-fe5b31f7194e	1	103760781	104708916	503	0.0059
d628540a-880a-4e39-ac85-fe5b31f7194e	1	104709583	104712351	6	-1.0449
d628540a-880a-4e39-ac85-fe5b31f7194e	1	104714678	105470754	409	-0.0105
d628540a-880a-4e39-ac85-fe5b31f7194e	1	105476583	105481433	18	-1.9581
d628540a-880a-4e39-ac85-fe5b31f7194e	1	105481448	109679105	2630	-0.0022
d628540a-880a-4e39-ac85-fe5b31f7194e	1	109684695	109703508	18	0.6222
d628540a-880a-4e39-ac85-fe5b31f7194e	1	109707613	112145689	1945	0.0188
d628540a-880a-4e39-ac85-fe5b31f7194e	1	112147589	112154552	22	0.7899
d628540a-880a-4e39-ac85-fe5b31f7194e	1	112154566	117601710	3506	0.0039
d628540a-880a-4e39-ac85-fe5b31f7194e	1	117602916	117603574	2	-1.8448
d628540a-880a-4e39-ac85-fe5b31f7194e	1	117604520	120144552	1557	0.0076
d628540a-880a-4e39-ac85-fe5b31f7194e	1	120146498	121106220	13	0.7247
d628540a-880a-4e39-ac85-fe5b31f7194e	1	121113917	121601998	88	0.0776
d628540a-880a-4e39-ac85-fe5b31f7194e	1	121705338	143709910	84	0.3422
d628540a-880a-4e39-ac85-fe5b31f7194e	1	143710047	145664420	64	0.6464
d628540a-880a-4e39-ac85-fe5b31f7194e	1	145670653	152787202	2498	0.0604
d628540a-880a-4e39-ac85-fe5b31f7194e	1	152789447	152796224	37	0.6305
d628540a-880a-4e39-ac85-fe5b31f7194e	1	152801429	153016845	167	-0.0124
d628540a-880a-4e39-ac85-fe5b31f7194e	1	153018584	153028502	6	0.7138
d628540a-880a-4e39-ac85-fe5b31f7194e	1	153028754	153371898	290	0.0527
d628540a-880a-4e39-ac85-fe5b31f7194e	1	153373787	158395907	2675	-0.0015
d628540a-880a-4e39-ac85-fe5b31f7194e	1	158396461	158397854	2	-1.6547
d628540a-880a-4e39-ac85-fe5b31f7194e	1	158398342	168113769	7211	0.007
d628540a-880a-4e39-ac85-fe5b31f7194e	1	168119873	168122176	8	-0.9998
d628540a-880a-4e39-ac85-fe5b31f7194e	1	168125471	196762480	19109	0.0002
d628540a-880a-4e39-ac85-fe5b31f7194e	1	196762956	196972531	137	0.224
d628540a-880a-4e39-ac85-fe5b31f7194e	1	196972618	242884254	31934	0.0044
d628540a-880a-4e39-ac85-fe5b31f7194e	1	242885438	243129825	75	0.3303
d628540a-880a-4e39-ac85-fe5b31f7194e	1	243131680	246078938	2021	0.0137
d628540a-880a-4e39-ac85-fe5b31f7194e	1	246080317	248930189	1702	0.0661
d628540a-880a-4e39-ac85-fe5b31f7194e	2	12784	3515968	2449	0.0759
d628540a-880a-4e39-ac85-fe5b31f7194e	2	3518935	15340317	9183	0.0015
d628540a-880a-4e39-ac85-fe5b31f7194e	2	15347568	15348785	2	-2.4097
d628540a-880a-4e39-ac85-fe5b31f7194e	2	15351122	22197535	4891	0.0017
d628540a-880a-4e39-ac85-fe5b31f7194e	2	22205808	22206737	2	-1.6168
d628540a-880a-4e39-ac85-fe5b31f7194e	2	22206990	24374359	1382	0.0069
d628540a-880a-4e39-ac85-fe5b31f7194e	2	24376304	24396569	37	0.5068
d628540a-880a-4e39-ac85-fe5b31f7194e	2	24396586	34450400	6121	0.0073
d628540a-880a-4e39-ac85-fe5b31f7194e	2	34456427	34502800	48	0.6551
d628540a-880a-4e39-ac85-fe5b31f7194e	2	34511446	37717159	2419	-0.0001
d628540a-880a-4e39-ac85-fe5b31f7194e	2	37717282	37786507	56	0.3339
d628540a-880a-4e39-ac85-fe5b31f7194e	2	37787048	40105711	1553	-0.0021
d628540a-880a-4e39-ac85-fe5b31f7194e	2	40108270	40110927	5	-1.6466
d628540a-880a-4e39-ac85-fe5b31f7194e	2	40111004	41259918	964	-0.0216
d628540a-880a-4e39-ac85-fe5b31f7194e	2	41261251	41267932	10	-0.7151
