GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	62920	2342007	420	0.0274
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	2348984	16504088	8221	-0.2818
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	16504325	16641716	26	-0.0329
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	16641879	16689764	15	0.2121
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	16718963	16864367	22	-0.1156
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	16868660	16932568	45	-0.709
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	16934716	25092208	5148	-0.2812
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	25096910	25097831	2	-1.9324
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	25098398	25256850	118	-0.2974
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	25266637	25336819	25	0.3688
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	25336853	27540626	913	-0.2818
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	27545109	64963643	23034	0.0349
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	64963747	64964291	5	-0.9431
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	64969380	72302815	4790	0.0252
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	72303233	72345465	46	1.1816
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	72346221	103697364	20041	0.0265
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	103717410	103717617	2	-1.8322
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	103760781	105470132	917	0.0123
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	105470754	105479753	18	0.4457
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	105481433	109679105	2633	0.0243
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	109684695	109697556	15	-0.5318
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	109702376	110834746	837	0.0338
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	110834943	110845604	38	-0.7128
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	110849445	143494500	6265	0.0279
9c780ddd-5dcf-4bf0-bf31-c21c1d3d52f9	1	143541857	143942271	126	-0.7571
