Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	1	3208470	204978189	102333	-0.0611
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	1	204980403	204981957	7	-1.0857
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	1	204984691	231592585	17409	-0.057
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	1	231592814	231593334	2	-1.4687
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	1	231597155	245880329	9120	-0.0815
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	2	474222	5527614	2653	-0.0555
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	2	5529230	5529272	2	-3.2777
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	2	5532674	52762131	28201	-0.0547
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	2	52762334	52762591	2	-1.7119
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	2	52763186	70796926	10465	-0.0539
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	2	70797137	70797524	2	-1.8863
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	2	70798000	71139382	187	-0.0189
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	2	71139675	71142295	2	-1.9713
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	2	71142387	122801209	22701	-0.0548
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	2	122801844	123439382	467	0.316
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	2	123439585	242124735	66433	-0.0477
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	3	526235	88978938	50051	-0.3256
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	3	88979361	90084316	585	0.149
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	3	90085423	95218916	128	-0.3628
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	3	95220270	199023074	55419	0.1441
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	4	1043934	7330305	3389	-0.0794
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	4	7330608	7340014	11	-0.7048
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	4	7343518	27142715	13089	-0.0699
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	4	27146464	27147983	4	-1.2666
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	4	27148897	62994984	18052	-0.0781
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	4	63076235	63096771	20	-0.6787
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	4	63100524	189836143	68048	-0.0679
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	5	967233	180293075	100442	0.142
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	6	959281	25530332	17166	-0.0583
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	6	25530853	25531286	2	-1.9175
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	6	25531982	73817479	22987	-0.0667
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	6	73818552	73818598	2	-2.3853
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	6	73822534	74691722	507	-0.1164
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	6	74695157	74695412	2	-1.7336
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	6	74700948	97740816	12428	-0.0693
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	6	97744251	152956462	33151	-0.3333
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	6	152957909	152958302	2	-2.6787
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	6	152958884	154391394	1024	-0.35
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	6	154393035	156180894	1172	-0.0804
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	6	156181247	156181337	2	-2.4988
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	6	156182135	170745844	7872	-0.057
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	7	671810	865806	67	0.1051
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	7	866561	867909	2	-1.4915
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	7	868920	15532927	7213	0.1285
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	7	15534433	15565195	16	-0.7757
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	7	15565954	78015291	32043	0.1354
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	7	78018790	78019304	2	-2.1092
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	7	78026897	156540465	41209	0.1379
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	7	156544842	156545395	2	-1.5099
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	7	156548094	158077879	701	0.1259
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	607667	23280407	12787	-0.351
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	23281690	23281959	2	-2.6398
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	23282732	31417121	5404	-0.3397
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	31417912	32012647	391	0.1262
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	32018391	32020416	5	-0.4131
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	32022947	32065460	51	0.1513
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	32067835	32076839	13	-0.348
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	32078193	32241966	131	0.1414
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	32244491	32250691	4	-0.6349
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	32251209	32385719	135	0.1563
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	32390468	33331643	622	-0.3561
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	33332254	34022864	316	0.1155
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	34024799	38043421	1996	-0.3388
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	38050107	71116908	16189	0.1277
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	71117230	71117388	4	-0.961
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	71123715	119674877	27263	0.137
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	119675383	119676560	3	-1.2214
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	8	119677057	145304484	16098	0.1433
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	9	779932	140058573	67762	-0.3186
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	10	405240	129767557	78246	-0.0753
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	10	129769690	129770131	2	-1.7402
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	10	129773100	132866122	1832	-0.0491
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	10	132866676	132866941	2	-2.2287
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	10	132868817	135075077	627	-0.1134
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	11	446120	133647740	77129	-0.0697
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	12	760163	98335179	55345	0.1353
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	12	98335189	98335690	2	-1.4127
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_D09_585074	12	98340573	131671419	18552	0.1408
