Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	61735	17182437	8809	0.0041
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	17190004	17259320	52	-0.3511
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	17260591	25583341	5259	0.0052
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	25593128	25662212	31	0.6922
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	25663310	31315153	2855	0.0146
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	31315191	31315593	3	-1.7816
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	31316029	72768418	25933	0.0071
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	72768498	72811133	46	-0.8438
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	72811148	76402006	2161	0.0149
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	76402084	76402145	2	-2.2752
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	76402393	111376220	22366	0.0047
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	111377368	111378895	6	-0.3736
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	111379065	111379555	10	-0.9703
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	111379573	111388226	23	-0.4299
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	111392067	148906617	7451	0.016
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	148907270	149279840	150	-0.4933
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	149290775	245636410	65009	0.0035
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	245637039	245638436	4	-1.537
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	1	245639751	249224388	2215	0.0319
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	12784	3250248	2287	0.0132
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	3250383	3257281	2	-2.1329
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	3257400	14345587	8413	0.0013
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	14345791	14379495	65	0.5325
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	14380277	34652871	13281	0.0054
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	34659936	34737057	57	0.6795
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	34737163	37631077	2182	0.0132
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	37634852	37635159	3	-1.4759
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	37635761	38954495	1009	0.0034
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	38955866	38972826	9	1.0874
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	38974884	57394902	13204	0.0194
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	57402044	57445471	68	0.9317
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	57447398	135066476	42826	0.0135
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	135067102	135067221	2	-2.6291
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	135068007	180061655	27588	0.0064
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	180067192	180079144	3	-1.6424
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	180083591	184085453	2566	0.0117
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	184085788	184089724	9	-1.0783
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	2	184093998	243089456	36209	0.0107
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	3	60345	6645601	5835	0.0289
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	3	6646543	6653222	22	-0.5164
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	3	6653244	26598888	14156	9e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	3	26601100	26611898	11	-1.0498
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	3	26611961	68746164	27758	0.0023
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	3	68746259	68748758	15	1.0504
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	3	68748786	129762859	34693	0.002
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	3	129763698	129793973	41	0.4095
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	3	129794006	162508268	20271	0.0095
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	3	162512657	162628679	75	0.4593
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	3	162628799	197896118	21876	0.0012
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	12281	10210390	5781	0.0039
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	10223416	10234266	30	1.1983
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	10234608	10390715	176	-0.0204
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	10392354	10400668	16	-1.8008
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	10402718	13771461	2637	-0.0044
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	13775362	13777997	3	-1.9284
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	13779748	49620885	23170	0.0091
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	49643763	49658612	8	-1.1645
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	52685699	64688251	7553	0.0065
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	64688718	64705785	27	-0.4973
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	64707581	64708258	8	-2.3997
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	64716431	69360489	2877	5e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	69367142	69485979	66	0.4568
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	69489335	86974515	10818	0.0053
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	86975062	86979764	21	-0.4984
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	86979944	115178967	16875	0.005
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	115179049	115184310	18	0.5423
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	115184322	117691923	1525	-0.0053
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	117695534	117703115	3	-1.7922
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	117704102	130062751	7196	-9e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	130067546	130068160	2	-2.4036
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	130072563	138092239	4511	0.0126
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	138092420	138092938	11	-0.8268
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	138093064	152991435	9077	-0.0026
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	152992741	152994130	2	-1.8635
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	152994190	172369346	12374	0.0037
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	172374884	172381953	18	0.7693
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	4	172387693	191027923	12507	0.0165
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	5	15532	4230268	3116	0.0022
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	5	4231152	4248343	11	-0.7707
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	5	4250024	17515801	10266	0.0075
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	5	17601553	17625633	15	-0.685
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	5	17629520	46246660	17341	0.0089
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	5	46251306	46273502	9	0.9991
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	5	46278212	46386392	18	-0.0204
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	5	46389273	49597505	48	0.5383
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	5	49597527	57321646	5013	0.0044
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	5	57326027	57338357	33	1.2916
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	5	57340073	180790320	77073	0.0054
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	6	149661	252145	96	0.118
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	6	252772	381149	103	-0.3694
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	6	382559	74591858	47003	0.0058
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	6	74592225	74601410	10	1.0383
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	6	74603555	78962889	2766	0.0011
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	6	78969065	79041719	116	-0.3382
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	6	79041773	162587892	53690	0.0022
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	6	162590018	162610452	20	-1.0566
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	6	162611608	171051005	5971	5e-04
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	7	43355	11772783	7443	0.0153
OWNED_p_TCGA_b102_105_SNP_N_GenomeWideSNP_6_D12_777158	7	11772818	11773374	2	-2.4029
