GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	62920	3259074	720	0.1073
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	3259896	10610834	4625	0.011
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	10611363	10619664	3	-1.4686
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	10621749	72302735	37274	0.0061
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	72302815	72345465	47	0.5441
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	72346221	109684893	23466	0.0065
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	109690352	109697556	13	-1.1785
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	109702376	112147704	1946	0.0065
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	112153343	112154768	25	0.5721
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	112163334	114286279	1321	0.0079
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	114289343	114291088	3	-0.9457
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	114291180	120144552	3706	0.0038
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	120146498	147188642	525	0.1051
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	147191235	147195146	2	1.3889
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	147196456	149881178	603	0.0555
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	149888396	152583051	1398	0.0136
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	152583230	152613762	31	-0.5868
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	152613802	152789570	174	0.0189
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	152789781	152795783	27	-0.393
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	152795805	158896783	3604	0.0091
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	158898711	158899969	2	2.2037
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	158905028	169247699	7614	0.0034
534d89f4-59c7-4a01-96d5-ca6a1ff1637e	1	169264736	169269493	5	0.9199
