Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	51598	742429	45	0.2592
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	747332	3208189	707	-0.396
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	3208470	9238434	3902	-0.0012
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	9249245	9332349	61	-0.3216
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	9332844	13109957	1802	-0.0127
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	13247932	13256845	11	-0.6187
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	13256851	16878565	2169	0.0043
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	16884037	16885372	13	0.7601
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	16888764	25455928	5338	-0.0075
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	25465715	25501052	19	-1.0574
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	25501218	30922283	2740	-0.0099
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	30923530	31022444	70	-0.3066
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	31023638	37621380	3604	0.0142
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	37624300	37675699	43	-0.3585
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	37693270	46260226	4782	0.0038
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	46262506	46284862	16	-0.488
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	46286413	54207198	4299	0.0054
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	54207631	54231454	12	-0.9095
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	54234249	61890775	5769	0.0062
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	61892397	61892566	2	-1.8299
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	61893152	72535958	7255	0.0127
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	72541006	72583736	48	-1.7965
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	72584492	72600900	14	0.3313
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	72600909	72780755	102	-0.0102
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	72784508	72869688	50	0.2996
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	72869768	103965310	19825	0.0186
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	103979561	104069745	25	0.9871
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	104104926	109376049	3291	0.0175
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	109376170	109411882	5	-1.0105
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	109413981	142792400	7474	0.0156
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	143183343	143183358	2	2.5648
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	143238504	150822151	2791	0.166
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	150822330	150853218	35	-1.9743
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	150857118	194981496	29599	0.2734
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	194994473	195037903	47	-1.9954
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	195050249	195057666	23	-0.6066
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	195065188	195068407	18	-1.987
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	195068428	224066931	19517	0.2691
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	224067590	224134485	45	-0.1915
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	224135550	226549992	1401	0.2652
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	226551253	226772768	91	-0.0916
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	226774301	236816732	7510	0.2668
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	236818243	236818560	5	-1.5063
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	236819019	240491493	2881	0.2654
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	240491808	240491848	2	-1.4699
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	240492118	241114179	486	0.2765
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	241115363	241130765	50	-0.0814
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	241131992	244446719	2183	0.2786
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	244448732	244460798	6	-0.5315
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	1	244460855	247191011	1599	0.2564
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	2784	20678367	15492	-0.0024
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	20679445	20686733	7	-1.0106
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	20688172	27614504	3883	-0.001
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	27618812	27633022	8	-1.0419
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	27637932	32784080	3225	0.0097
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	32784290	32896033	76	0.3723
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	32899133	41091739	6134	0.0254
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	41091947	41099391	23	-0.5784
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	41104737	46343299	3848	0.0069
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	46343636	46345776	3	-1.5054
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	46346186	71195959	16505	0.014
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	71200071	71200333	6	-3.4434
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	71200900	110534145	19529	0.0103
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	110542321	110844411	5	-2.0505
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	110854188	114048245	1622	-0.0062
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	114078485	114078886	3	-2.0527
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	114097291	114168354	28	-0.0902
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	114169416	114170350	3	-1.9017
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	114170499	121033466	4268	0.0279
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	121033512	121064942	23	-0.4162
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	121066284	123188649	1356	0.0062
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	123192219	123198711	12	-0.628
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	123200123	125033578	1271	0.0282
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	125034382	125036585	5	-0.9572
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	125036786	131910202	3915	0.0148
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	131923330	131995110	44	-0.5398
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	131995795	138588441	4188	0.0164
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	138588980	138590058	2	-1.6802
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	138594504	146582302	4908	0.0269
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	146582444	146583404	11	0.8685
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	146594276	176966760	18356	0.0089
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	176967088	176980779	3	1.451
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	176983384	179769900	1837	4e-04
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	179775437	179787389	3	-2.8113
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	179791836	184305321	2895	0.0076
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	184310980	184311949	7	-0.8278
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	184316164	184951777	434	0.0757
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	184951791	184973971	30	-0.3677
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	184974177	196192551	6217	0.0376
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	196200500	196200837	2	-1.6864
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	196200933	203001336	3893	0.0121
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	203004020	203021760	44	-0.9116
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	203021883	208052235	3099	-0.0037
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	208053385	208066532	22	-0.8253
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	208066976	232892786	15790	0.0045
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	232901812	232988386	74	-0.3954
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	232988483	235372271	1693	-0.0023
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	235374006	235375252	2	-1.6731
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	235377111	241101038	3756	-0.003
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	241101629	241104906	12	-0.7111
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	241104923	241274730	85	-0.0578
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	241276509	241382335	31	-0.3798
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	2	241384277	242738129	586	-0.1041
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	3	35345	1907464	1696	-0.3729
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	3	1907814	1917933	13	-2.0237
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	3	1921217	11387604	7759	-0.4972
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	3	11387823	11388400	3	-2.7834
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	3	11392265	16211751	3307	-0.5371
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	3	16212012	16216183	8	-1.9167
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	3	16216329	26587114	7066	-0.4723
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_D09_1377532	3	26587168	26589989	12	0.4687
