Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	51598	72541504	42939	-4e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	72541524	72583721	44	-0.6743
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	72583736	75823432	1933	0.0068
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	75827351	75827442	2	-2.1002
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	75832097	103904311	18121	0.0085
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	103904580	103965310	31	0.3797
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	103979561	105820728	945	0.0066
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	105820759	105825613	19	0.4939
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	105825660	112497488	4640	0.0181
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	112497610	112498721	20	0.4888
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	112498736	143660427	5318	0.0037
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	143661332	143779862	44	-0.362
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	143780675	150822330	2682	0.0244
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	150822391	150853218	34	-1.3616
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	150857118	194997658	29748	0.0048
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	194998233	194998709	2	-1.9905
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	195005246	195079130	90	0.1227
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	195079153	195082414	2	2.5974
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	195083353	246804070	35749	0.0077
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	246815817	246861912	30	-0.4574
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	1	246862475	247191011	147	0.0849
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	2	2784	1213866	823	0.0229
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	2	1214143	1221210	4	-1.6665
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	2	1227515	146578555	89993	0.0054
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	2	146580874	146583404	24	-1.1025
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	2	146594276	242738129	59101	0.0016
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_E01_730534	3	35345	99382010	63181	0.0108
