Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	1	3218610	99148714	55235	-0.0018
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	1	99155330	99155923	2	-1.394
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	1	99158516	247813706	73912	-0.0041
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	2	484222	134423020	69311	8e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	2	134423443	134423633	2	-2.083
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	2	134424634	169341043	19980	-0.0063
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	2	169347060	169347885	3	-1.2661
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	2	169351953	242476062	42031	0.0035
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	3	2212571	14848719	7656	-0.4852
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	3	14849172	14856803	4	-1.85
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	3	14856838	23197899	4435	-0.488
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	3	23198420	23203411	4	-1.9406
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	3	23203454	23448863	122	-0.4953
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	3	23454790	23458291	4	-1.899
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	3	23460232	44931692	13057	-0.487
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	3	44933919	45335194	261	-0.0047
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	3	45335390	53269317	3537	-0.448
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	3	53272314	56671927	2516	-7e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	3	56672670	57553197	517	-0.4696
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	3	57556398	197538677	74277	-0.0079
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	4	1053934	29641470	17908	-0.0087
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	4	29644793	29653439	15	-0.9989
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	4	29655857	132910697	54820	-0.0144
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	4	132920835	136938979	1820	0.3124
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	4	136949064	188763651	28190	-0.0159
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	5	914233	114756455	61058	0.3229
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	5	114756637	114756862	5	-0.8335
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	5	114759078	180360469	39464	0.3238
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	6	1014281	24946671	16858	2e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	6	24947772	24947805	2	1.6068
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	6	24951199	54594307	15577	-8e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	6	54594349	54594968	2	-1.5975
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	6	54598649	170903919	64068	-0.0087
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	7	705284	24035127	12191	-0.0092
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	7	24039878	24040383	2	-1.8797
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	7	24040817	158385118	69144	-0.0135
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	8	617667	86411519	46850	-0.01
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	8	86414182	86515849	55	0.4916
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	8	86840960	145232496	34654	-0.0065
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	9	789932	114410536	52396	-0.0065
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	9	114412794	114413230	2	-3.6467
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	9	114416184	140938752	15624	0.0033
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	10	415240	22408647	15549	-0.005
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	10	22412788	22413053	2	-2.1497
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	10	22421698	135225087	65328	-0.0061
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	11	456120	133766301	77159	-0.0041
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	11	133768886	133772835	2	-1.5415
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	11	133772838	134142530	104	0.0255
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	12	889902	133161346	73958	-0.0082
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	13	19450806	33348568	8403	-0.4795
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	13	33349845	33349866	2	-2.7965
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	13	33351057	54133001	12483	-0.4823
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	13	54137672	56654035	1147	-0.0053
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	13	56663210	61253519	2314	-0.4896
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	13	61255471	114987458	32298	-0.011
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	14	20501368	105988038	49461	-0.0043
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	15	23687685	66725807	24155	0.0045
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	15	66726251	66726907	2	-2.334
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	15	66727254	101884307	20381	0.0025
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	16	653459	89379936	40802	5e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	17	987221	80917016	36993	0.0072
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	18	329586	25800016	12537	0.0084
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	18	25800169	25804337	2	-1.5478
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	18	25809390	48350339	13966	-7e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	18	48351670	48351954	2	-1.6764
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	18	48353544	57211459	5677	0.0124
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	18	57214642	57215742	2	-1.9597
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	18	57216399	77109240	10494	-1e-04
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	19	284018	9252166	2854	0.0074
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	19	9253354	9253579	2	-1.714
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	19	9254342	58878226	21104	0.0104
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	20	455764	12226782	7452	0.0033
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	20	12227306	12227498	3	-1.4481
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	20	12229102	45850726	18938	-0.0061
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	20	45858222	45858405	2	-1.3872
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	20	45860051	62219837	10890	0.008
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	21	15347621	25585384	6195	-0.0187
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	21	25588249	25588339	3	-1.3597
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	21	25588956	47678774	14390	-0.0043
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	22	17423930	45169405	13941	0.0069
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	22	45175316	45175340	2	1.7503
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	22	45176723	49331012	2990	0.0026
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	X	3157107	56520103	23208	0.003
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	X	56521395	56566261	19	0.4504
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	X	56568877	80970776	7694	-0.001
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	X	80970881	80970917	2	1.9385
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	X	80972848	129393460	21795	-0.0026
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	X	129397784	129400354	2	-1.727
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	X	129403857	152926728	10794	0.003
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	X	152927523	152937587	3	1.1037
SITUS_p_TCGAb50_SNP_N_GenomeWideSNP_6_F03_680176	X	152938026	154905589	288	0.0142
