Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	61735	16149915	8422	0.007
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	16153497	16153925	6	-2.3738
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	16154201	25604466	5755	-0.003
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	25605058	25680783	28	-0.312
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	25685715	35091674	4957	0.0018
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	35102654	35103036	6	-0.6674
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	35103142	35103510	4	0.0637
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	35103827	35115542	12	-0.7176
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	35116561	72768916	23877	-0.0178
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	72768936	72811133	44	-1.3901
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	72811148	83740658	7067	-0.0294
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	83741510	83742717	2	-1.2915
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	83750323	104103230	13007	-0.0306
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	104109238	104159384	27	0.4159
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	104163499	106013376	947	-0.0424
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	106019205	106022375	17	-0.7997
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	106024055	110232974	2669	-0.0256
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	110233037	110244998	18	-1.1551
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	110246126	144936447	7291	-0.0167
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	144938879	145054263	49	-0.3086
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	145060294	148906617	1008	-0.0061
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	148907270	148920952	5	-1.3041
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	148937000	149242663	119	-0.0135
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	149242725	149248841	18	0.4606
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	149249447	152555176	1533	-0.0088
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	152555527	152586594	36	1.4536
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	152590494	152762046	176	-0.0044
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	152762257	152773905	33	0.4206
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	152776755	158866573	3623	-0.0145
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	158868501	158869759	2	2.4164
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	158874818	171017710	8970	-0.0227
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	171020482	171024874	3	-0.9636
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	171028749	196714873	16967	-0.0258
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	196727850	196761820	42	-2.3232
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	196762066	196798664	31	-0.7957
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	196798705	196801655	14	-1.8906
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	196801784	246957154	34730	-0.0253
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	246958061	246958340	2	1.491
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	246961742	248610507	1031	-0.0315
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	248621163	248641192	11	0.5709
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	248649486	248736075	23	-0.1549
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	248737447	248809369	39	-0.8765
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	1	248818483	249224388	140	0.0244
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	12784	4205687	2990	-0.0097
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	4213864	4223512	37	-0.7547
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	4223567	30253971	18195	-0.0271
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	30256337	30256351	2	-1.3483
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	30256393	34717029	2917	-0.0279
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	34717080	34741027	33	-0.3657
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	34742910	43149485	6275	-0.0244
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	43149895	43149898	2	-1.9698
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	43149973	52754468	6770	-0.0274
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	52754480	52781542	39	-2.6705
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	52787949	213181315	93757	-0.0316
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	213181322	213191825	26	-0.9064
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	213192126	233218748	12816	-0.0391
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	233227499	233242399	33	0.3501
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	233242761	237803366	3147	-0.0188
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	237803533	237803934	4	-1.148
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	2	237803982	243089456	3085	-0.0058
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	60345	224602	157	-0.5805
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	230022	232800	4	-2.7021
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	234877	6646543	5682	-0.6357
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	6651128	6653332	23	-2.1404
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	6655078	23979303	12049	-0.629
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	23981429	23982330	3	-2.5596
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	23983340	53031750	17858	-0.6252
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	53031763	53038848	30	-0.1905
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	53038902	56509413	2594	-0.6198
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	56515714	58283722	1018	-0.0352
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	58288772	59560769	790	-0.6223
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	59561630	60005597	514	0.0266
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	60006600	60007631	2	-1.3524
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	60007657	60777932	875	0.0208
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	60780640	60781027	4	-0.9801
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	60784223	68746259	6245	-0.0271
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	68746284	68747243	9	0.6085
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	68747289	96280534	14511	-0.0278
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	96285083	96287812	3	-1.1271
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	96288407	96303888	7	-0.1245
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_E08_697516	3	96307658	96318924	10	-1.1407
