Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	61735	16886193	8724	0.1453
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	16888067	17005978	42	-0.3319
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	17011450	17012785	13	0.3519
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	17016177	17190004	46	-0.1262
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	17190862	17257943	45	0.4179
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	17258139	25595881	5287	0.1537
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	25595947	25611452	12	-0.4731
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	25616296	35091674	4982	0.1501
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	35102654	35104491	20	-0.481
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	35114268	70966657	22694	0.1617
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	70970795	70972133	2	-1.5341
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	70972147	72768916	1167	0.1683
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	72768936	72811148	45	-1.0113
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	72811904	106019236	21025	0.1725
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	106019310	106022375	15	0.8558
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	106024055	110182826	2640	0.1725
TREAD_p_TCGA_b146_152_SNP_N_GenomeWideSNP_6_E08_809344	1	110183021	110227515	29	-0.3226
