Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	61735	16149343	8363	0.0102
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	16149915	16153925	7	-1.495
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	16154201	16344827	87	0.0542
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	16345255	16368977	5	-1.0366
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	16374330	17182437	313	-0.0163
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	17190004	17261888	61	0.4282
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	17262232	17593406	237	0.0208
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	17594896	17620009	21	0.6487
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	17622654	106019205	54685	0.0277
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	106019236	106022375	16	0.8691
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	106024055	110227515	2658	0.0302
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	110232974	110242953	17	-0.9828
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	110244998	112690326	1943	0.0449
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	112695965	112697012	18	0.5667
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	112697174	145005502	5314	0.0252
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	145009382	145013754	3	-1.4149
TOPOS_p_TCGAb_352_353_84_86_NSP_GenomeWideSNP_6_C03_1376538	1	145014036	149545372	1201	0.0265
