Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	51598	1500664	226	-0.1067
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	1617778	1662463	17	-1.0103
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	1677447	16878565	8523	-0.0495
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	16884037	16885328	12	1.0995
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	16885372	16889665	6	-0.3446
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	16890117	16955178	21	0.4803
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	16959879	25328112	5261	-0.0596
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	25328122	25328479	2	1.843
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	25328499	25477645	97	-0.1241
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	25483707	25484039	2	-1.6093
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	25488883	37546173	6422	-0.054
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	37546450	37547284	3	-1.3625
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	37548885	61886769	15064	-0.0735
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	61887539	61890775	2	-1.8042
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	61892397	70767428	6193	-0.0801
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	70769740	70770533	5	-0.9078
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	70771374	72084720	835	-0.0105
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	72090333	72253505	87	-0.6425
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	72253593	72541504	183	-0.2172
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	72541524	72583664	43	-0.6326
NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A03_697948	1	72583721	75823432	1935	-0.0953
