Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	51598	394034	30	0.2129
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	524414	593453	3	-1.5544
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	615333	16724101	8698	0.0461
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	16741950	17134384	164	0.3254
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	17134475	25447294	5274	0.0421
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	25455216	25535897	37	0.6598
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	25535931	72277910	28626	0.0412
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	72277933	72338218	37	-0.3136
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	72338388	72541504	127	0.0431
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	72541524	72583736	45	-1.8771
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	72584492	105820728	21055	0.036
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	105820759	105825593	18	0.8961
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	105825613	110028493	2665	0.0385
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	110028840	110044476	22	0.6506
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	110046521	143553915	7232	0.0442
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	143560896	143560909	3	1.0242
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	143576984	143613250	43	0.1137
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	143613408	143660325	25	0.4173
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	143660427	146395960	1010	0.0874
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	146780414	147788470	222	0.3227
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	147811996	150822151	1496	0.0584
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	150822330	150853218	35	-2.2529
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	150857118	151026302	171	0.0194
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	151028547	151035324	37	-2.1036
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	151040529	167483561	11349	0.0324
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	167500598	167508390	7	0.9614
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	167509025	191422415	15808	0.0334
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	191422902	191422971	4	1.7017
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	191426346	192287959	680	0.0108
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	192288620	192293055	6	-0.507
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	192293271	192714857	261	0.0513
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	192718034	192721641	2	2.3471
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	192723639	194998709	1458	0.0309
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	195005246	195089940	94	0.3597
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	195090236	197378049	1380	0.0495
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	197378144	197380463	7	-1.0643
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	197380861	198546743	836	0.0536
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	198550957	198552503	5	-1.233
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	198552581	208137685	6593	0.028
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	208148236	208150607	3	-2.6442
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	1	208153175	247191011	27147	0.033
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	2784	4183562	2991	0.0438
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	4191739	4201042	36	-0.764
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	4201387	14621145	8032	0.0236
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	14622400	14627543	12	-1.0603
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	14627815	20679445	4523	0.0167
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	20680974	20681293	4	-2.0524
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	20686700	24452708	2360	0.0094
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	24452747	24467063	24	0.3467
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	24469111	34544573	6147	0.0263
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	34552819	34590561	46	0.5766
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	34590667	41091739	4831	0.029
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	41091947	41099391	23	-0.7278
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	41104737	41346903	180	0.0246
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	41346948	41348081	4	-0.824
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	41348576	52597429	8015	0.0219
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	52607972	52635046	40	0.5409
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	52641453	79941244	17845	0.0215
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	79941898	79943327	9	-0.7551
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	79944982	87155618	4182	0.0214
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	87160459	87162774	2	1.4245
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	87163345	97484644	2067	0.0587
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	97507179	97528142	8	-0.9423
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	97528621	106241154	5583	0.0254
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	106246527	106251789	12	0.6831
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	106253687	114078485	3842	0.029
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	114078884	114097291	3	-1.0478
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	114100022	119761827	3665	0.024
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	119762004	119766312	5	-0.793
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	119767314	129354548	5946	0.0203
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	129354948	129356785	15	-0.5265
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E12_697704	2	129356799	130510326	879	0.0076
