Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	1	3208470	245880329	129052	0.0206
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	2	474222	242124735	131269	0.0228
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	3	526235	90500638	50860	-0.3472
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	3	90501349	127333288	18118	0.0243
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	3	127333599	127334156	3	-1.4808
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	3	127334446	138330528	6224	0.0216
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	3	138331420	138355590	11	-0.6238
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	3	138356557	199023074	31106	0.0247
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	4	1043934	68211115	37363	0.0227
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	4	68211551	68362537	91	-0.3078
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	4	68364122	189836143	65271	0.0252
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	5	967233	180293075	100506	0.0229
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	6	959281	170745844	96480	0.0231
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	7	671810	24001652	12189	0.0182
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	7	24006403	24006908	2	2.2854
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	7	24007342	74680387	25797	0.0179
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	7	74697587	74872582	2	-1.8041
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	7	74882566	158077879	43313	0.0218
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	8	607667	145304484	81522	0.0197
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	9	779932	79426960	29823	0.0226
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	9	79434075	79434296	2	-1.7822
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	9	79434650	99898178	13432	0.0278
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	9	99901167	99922702	18	-0.9872
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	9	99924385	140058573	24715	0.0238
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	10	405240	135075077	80846	-0.0108
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	11	446120	133647740	77253	0.0208
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	12	760163	38840364	20288	0.019
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	12	38840926	38840965	2	-1.6593
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	12	38841055	131671419	53633	0.0191
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	13	18348806	114005560	56637	0.0209
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	14	19571208	61031361	22683	0.0204
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	14	61031695	65625281	2876	-0.3416
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	14	65627701	65627836	2	-2.509
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	14	65629502	90867841	15390	-0.3461
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	14	90870995	105059083	8471	0.0229
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	15	21238778	35321350	6417	0.0248
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	15	35322853	35323974	2	-1.3525
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	15	35326567	37196734	1282	0.01
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	15	37197374	42401149	2526	-0.3524
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	15	42407198	99701830	34303	0.023
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	16	593460	87907437	40843	-0.0025
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	17	933971	78510305	36975	0.0179
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	18	319586	75210228	42663	0.0269
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	19	235018	7520677	2115	0.0213
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	19	7521865	7525239	2	-2.3515
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	19	7528704	63570038	21833	0.0199
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	20	403764	61690281	37278	0.0197
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	21	14269492	45300763	20146	0.0194
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	21	45312259	45312330	2	-1.6569
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	21	45313537	46503202	431	0.005
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	22	15803930	47717016	16925	0.0118
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	X	3167107	15834566	4977	0.0072
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	X	15838402	15840981	2	1.5791
PLENA_p_TCGAb63and64_SNP_N_GenomeWideSNP_6_B12_697382	X	15842662	154558783	58756	9e-04
