Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	1	3208470	120328884	67721	0.0044
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	1	142745296	180337094	19874	0.3443
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	1	180337351	180338031	3	-1.1146
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	1	180341392	187359115	4482	0.3432
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	1	187363083	187378807	15	-0.1912
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	1	187386308	199217186	6728	0.3382
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	1	199217368	245880329	30222	0.0081
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	2	474222	242124735	131244	0.0098
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	3	526235	74197792	42792	-0.4717
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	3	74197988	199023074	63467	0.0155
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	4	1043934	42527740	25702	0.0062
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	4	42528549	42531155	2	-1.865
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	4	42532440	125678855	43333	0.0083
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	4	125679801	125682385	3	-1.324
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	4	125682475	189836143	33671	0.0035
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	5	967233	56757318	30002	0.0529
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	5	56759761	56760565	2	-1.7086
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	5	56761406	154485773	54669	0.0583
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	5	154486006	154486458	2	-1.605
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	5	154487054	180293075	15801	0.0566
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	6	959281	72311412	39218	0.0105
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	6	72331452	72333388	2	-2.8038
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	6	72333772	170745844	57223	0.0099
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	7	671810	41237729	23511	3e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	7	41238985	41239250	2	-1.4617
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	7	41239793	111296410	32930	0.0011
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	7	111296460	111298102	4	-1.4159
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	7	111298199	158077879	24846	0.0028
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	8	607667	145304484	81500	0.007
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	9	779932	28503310	17534	0.0048
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	9	28503818	28533775	8	-0.7147
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	9	28540575	29390712	260	0.0042
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	9	29438458	29496384	34	-0.6436
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	9	29499286	115053241	35379	0.0081
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	9	115056703	115064058	2	1.545
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	9	115064780	132473038	11072	0.0058
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	9	132474030	132474546	2	-1.3463
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	9	132477983	140058573	3689	-1e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	10	405240	12741948	8582	-0.0109
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	10	12742074	12743946	2	-1.6585
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	10	12744197	135075077	72253	-0.0029
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	11	446120	133647740	77228	0.0096
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	12	760163	27720833	15954	0.0089
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	12	27724105	27729603	3	-1.4101
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	12	27731047	131671419	57967	0.0078
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	13	18348806	42737494	15273	-0.4737
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	13	42739729	43183455	376	0.0284
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	13	43190144	49392585	3915	-0.4675
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	13	50522283	114005560	37031	0.0121
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	14	19571208	98718844	46539	0.0078
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	14	98719316	98719350	2	1.476
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	14	98719507	105059083	2895	-0.0022
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	15	21238778	99539438	44399	0.0035
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	15	99539990	99540048	2	1.9482
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	15	99543648	99701830	104	0.0016
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	16	593460	9306395	4054	-0.0068
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	16	9306793	9307212	2	-1.4207
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	16	9307225	69396838	24749	-5e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	16	69403572	69757550	65	0.3537
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	16	69762695	87907437	11966	0.0026
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	17	933971	78510305	36969	-0.002
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	18	319586	3963509	1638	0.0177
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	18	3963988	3966855	2	1.2887
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	18	3967713	13945831	6425	0.0274
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	18	13947551	13953033	3	-1.5428
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	18	13955704	75210228	34580	0.0271
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	19	235018	63570038	23936	-0.0058
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	20	403764	61690281	37255	0.0037
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	21	14269492	46503202	20568	0.0035
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	22	15803930	47717016	16937	0.3357
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	X	3167107	137400854	55466	-0.0045
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	X	137401436	137401530	2	-4.89
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	X	137401740	137833382	241	-0.0476
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	X	137833478	137834560	2	-4.7402
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B12_697566	X	137834802	154558783	7193	-0.0309
