GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	62920	6020227	2808	-0.7166
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	6027774	8200774	1250	-0.6546
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	8202575	8212414	11	-2.2846
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	8212571	16686246	4580	-0.6566
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	16689764	16956580	79	-0.2119
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	16958425	25256850	5230	-0.6595
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	25266637	25319693	21	-1.4838
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	25320198	43951958	10215	-0.6533
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	43954576	43955082	2	-3.6147
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	43958033	47378864	1725	-0.6482
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	47379261	49063920	1223	-0.7448
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	49064166	53384853	2013	-0.6365
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	53385493	112147704	39017	-0.7015
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	112153343	112163460	29	-0.021
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	112163496	143709858	5225	-0.6929
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	143709910	145664420	65	-0.122
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	145670653	152578988	2288	0.0815
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	152579167	152607145	35	-0.1769
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	152607349	152614118	8	-0.8064
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	152618018	152784298	164	0.0818
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	152784330	152795805	36	0.7084
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	152795862	169247699	11286	0.0759
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	169264736	169272528	7	-1.7747
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	169273163	196745743	18179	0.0481
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	196758720	196832312	56	-0.4665
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	196832525	209897717	8791	0.069
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	209908268	209910639	3	-1.7573
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	1	209913207	248930189	27023	0.0573
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	2	12784	4158097	2988	0.0434
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	2	4166274	4182472	43	0.4139
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	2	4187192	8634743	3799	0.0447
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	2	8634774	8634870	2	-3.3932
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	2	8635214	14562225	4208	0.0646
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	2	14563383	14563399	2	1.7189
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	2	14563508	23408828	6355	0.0335
d89f4f9e-36ca-47c2-a6f0-a23b1c2a7348	2	23410141	27514389	2060	0.1004
