Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	51598	219021	21	-0.0848
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	219036	394034	9	-0.682
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	524414	751595	19	0.3221
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	751981	3752621	997	0.0943
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	3752749	3756100	5	-0.7305
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	3756146	16019768	7365	0.0256
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	16019979	16040367	19	0.4761
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	16040386	16929044	380	0.0419
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	16949054	17134834	85	0.3805
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	17148828	34875241	10273	0.0163
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	34875257	34877078	19	-0.445
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	34886855	38901188	2196	0.0277
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	38905017	38905049	5	0.8151
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	38907775	45389899	3734	0.0198
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	45392074	45395150	4	-1.2054
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	45396980	69818210	16205	0.012
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	69820857	69821007	3	-1.0111
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	69824244	72541504	1649	0.0091
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	72541524	72583721	44	-1.3512
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	72583736	104023335	20110	7e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	104023401	104069745	20	-0.4857
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	104104926	105820728	921	0.0029
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	105820759	105823867	14	-0.4366
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	105823883	110025950	2658	-0.0035
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	110027165	110027663	5	-0.6973
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	110027901	110034497	9	-0.1105
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	110034560	110036151	10	-1.6665
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	110036555	110047804	13	-0.4964
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	110051758	112491849	1949	0.006
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	112497488	112507479	26	0.6849
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	112507583	143863085	5395	0.0065
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	143863316	143864114	5	1.1089
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	143867658	146851961	940	0.068
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	146894193	146894466	3	-1.5747
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	146903393	147291432	37	-0.1289
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	147303148	147509287	111	-0.6948
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	147509349	147703466	53	-0.3023
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	147788464	150822151	1498	0.016
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	150822330	150853218	35	-1.9748
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	150857118	180337094	20036	0.0062
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	180337351	180338031	3	-1.7049
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	180341392	194994473	9728	0.002
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	194997658	195068278	86	-0.3849
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	195068407	240474280	31607	0.0042
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	240474544	240475690	2	-2.0129
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	240475723	241129250	544	0.0248
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	241129265	241131992	10	0.5431
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	241144886	245910335	3096	0.0117
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	245916485	245923897	2	-1.5557
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	245923951	246804070	529	0.0466
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	246815817	246863745	32	-0.8044
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	1	246863836	247191011	145	0.0489
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	2784	4183562	2990	0.0327
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	4191739	4201894	42	-0.6815
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	4207937	4218181	12	0.1072
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	4220258	4220745	5	-1.3812
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	4222341	34544573	21071	0.0059
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	34552819	34581371	44	-0.3653
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	34590017	34808299	151	0.0448
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	34808927	34810110	3	-1.1495
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	34810228	34817215	9	-0.115
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	34817309	34817966	3	-1.1222
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	34825076	34900460	59	-0.081
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	34900624	34900762	2	-1.4299
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	34902644	38105060	2464	0.0119
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	38105376	38107063	2	-1.2338
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	38107457	38807999	512	0.0099
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	38809370	38825785	8	0.744
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	38826330	49386546	7553	0.0089
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	49389272	49394694	5	-0.9318
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	49398545	50829332	1066	0.0094
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	50829675	50830356	6	-0.9574
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	50831483	51390308	391	0.0454
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	51391940	51393949	2	-1.1245
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	51400225	52607972	816	0.0021
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	52607984	52635046	39	0.7691
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	52641453	59507859	4798	-0.0017
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	59508696	59508885	2	-1.3977
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	59509030	76167247	10382	0.0042
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	76169268	76169599	2	-1.4663
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	76170526	87366798	6948	0.0079
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	87367890	87367901	2	-1.3211
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	87373867	97484644	1959	0.0232
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	97507179	97528142	8	-1.0412
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	97528621	106246527	5579	0.0051
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	106247145	106251789	11	-2.2564
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	106253687	123193484	9554	0.0078
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	123196369	123198711	9	-0.9467
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	123200123	129354548	3894	0.0042
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	129354948	129356785	15	0.5638
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	129356799	130510326	877	0.0122
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	130510353	130591346	17	-0.4726
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	130610467	138204570	4432	0.0031
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	138205997	138211717	2	-1.9886
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	138212362	146580913	5162	0.0079
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	146580927	146583404	21	1.0959
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	146594276	175907811	17844	0.0044
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	175908235	175918918	7	-1.0718
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	175920636	176361736	274	0.0063
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	176364360	176364887	2	-1.4035
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	176365392	203788037	16073	0.0099
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	203793153	203793880	2	-1.5325
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	203793913	205768756	1312	0.016
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	205768882	205768899	2	-1.2021
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	205771050	207862283	1368	0.0068
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	207864079	207871937	9	-0.4854
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	207875426	208058284	106	0.0256
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	208058436	208066976	19	0.3496
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	208066999	213054914	3186	0.0134
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	213058242	213058287	2	-1.1306
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	213058622	215431551	1509	5e-04
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	215437995	215439066	2	1.3052
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	215439435	216072280	400	-0.0033
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D06_697484	2	216080241	216080525	3	-1.1545
