Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	61735	82315	10	-0.104
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	82650	534551	21	0.9065
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	564621	3218329	724	0.202
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	3218610	9358243	3957	-0.1103
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	9360208	9402403	35	0.2971
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	9404693	12838744	1776	-0.1155
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	12839576	13717824	90	0.4375
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	13724101	16797756	2087	-0.1253
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	16803776	16970178	57	0.4137
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	16970311	25583341	5395	-0.1021
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	25593128	25646689	25	-1.0505
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	25646744	26804477	551	-0.1271
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	26805583	26813967	3	1.0243
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	26815537	27379471	188	-0.1107
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	27379950	27380879	3	1.2314
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	27381440	31139580	2003	-0.0912
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	31139947	31238496	76	0.2023
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	31241046	41021036	5354	-0.1085
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	41022076	41027850	2	-4.7469
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	41027928	62114181	13281	-0.1196
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	62114951	62118187	2	-2.3879
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	62119809	72763370	7356	-0.1405
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	72768418	72811148	48	0.9312
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	72811904	76532478	2297	-0.1413
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	76532801	76535434	2	-2.6074
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	76536315	83829357	4795	-0.1492
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	83829675	83907556	44	0.3279
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	83908704	106021381	13869	-0.1332
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	106021627	106034938	21	-0.8726
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	106035052	108744512	1935	-0.1409
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	108744934	108745003	2	-2.416
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	108745239	110225965	705	-0.1196
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	110226004	110256624	48	0.4418
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	110260742	112688311	1931	-0.1051
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	112690211	112697390	28	0.7773
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	112705956	120021147	4647	-0.1301
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	120021211	120021419	2	-2.8513
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	120022175	120085845	56	-0.2067
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	120089510	120139662	66	0.2347
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	120140023	121315497	397	-0.0757
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	121321810	144884345	89	0.4045
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	144885044	147231032	882	-0.0538
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	147232740	147234095	2	-2.8047
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	147235595	152560541	1896	-0.0414
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	152560868	152586117	21	-1.5099
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	152586238	152762667	189	-0.1184
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	152762762	152767963	18	-0.8039
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	152768259	179330528	17962	-0.1326
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	179331382	179333315	3	-2.1556
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	179339206	181255662	1231	-0.1383
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	181257282	181262438	12	-0.8393
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	181263259	184801767	2505	-0.1304
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	184802062	184807512	5	-1.4081
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	184809353	189549597	2995	-0.1349
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	189551970	189552871	5	-1.5507
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	189554067	202567272	8602	-0.1258
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	202567553	202568735	5	1.0272
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	202569000	208445720	3729	-0.1321
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	208445800	208456937	28	0.4611
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	208457709	226013355	12150	-0.1353
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	226013388	226067862	36	0.399
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	226068927	228534850	1428	-0.139
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	228535364	228741147	83	0.1985
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	228791784	243124511	10980	-0.1395
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	243129352	243268406	23	0.7441
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	1	243268959	249224388	3755	-0.1157
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	12784	343588	211	0.2555
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	346269	346507	2	-2.2159
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	347812	1786221	942	0.1875
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	1786522	1788623	3	-1.2262
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	1789404	3146036	1019	0.0991
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	3147136	3270959	136	0.3806
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	3272829	4197289	667	0.0692
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	4198741	4223833	48	0.4398
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	4224019	7612962	2870	0.0796
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	7613356	7613519	2	-2.3658
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	7614263	24595328	12028	0.0706
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	24596812	24615607	30	0.6959
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	24615623	33057601	4860	0.0875
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	33058220	33078484	18	0.6823
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	33078992	34699315	1266	0.0899
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	34701394	34737057	45	0.8724
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	34737163	50923733	11793	0.0686
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	50923850	50925528	2	-2.3918
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	50925840	52754468	1249	0.0586
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	52754480	52781542	39	-2.0071
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	52787949	97717272	23984	0.0828
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	97718336	97875777	60	0.4596
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	97876200	97908386	9	-0.5164
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	97908462	98274527	60	0.6062
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	98277322	114362015	9405	0.0871
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	114362414	114383552	4	1.5953
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	114384353	116539003	1340	0.0767
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	116539017	116619756	53	-0.2901
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	116624302	117624106	570	0.0934
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	117625463	117629603	5	1.4309
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	117630472	130768628	8525	0.083
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	130779976	130907346	29	0.831
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	130908942	131157859	92	0.2703
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	131207769	131308378	7	1.0369
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	131317849	131318051	2	-2.9686
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	131338652	131477948	4	0.9565
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	131478017	131940494	227	0.0517
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	131946313	132093032	20	0.5988
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	132094747	132096439	6	-0.3691
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	132097319	132158447	19	0.5885
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	132159934	132164691	2	-1.8755
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	132165026	132241914	67	0.1507
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	132242217	132279325	13	0.7456
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	132280836	164636852	19737	0.076
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_F01_742038	2	164643488	164645126	5	-1.236
