Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	61735	229173	22	0.3727
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	229619	5380602	2287	-0.04
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	5383320	5383443	3	-1.2853
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	5384328	7322160	1197	-0.0736
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	7324468	7325420	4	-1.0577
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	7326201	16149915	4909	-0.0666
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	16153497	16155010	10	0.5323
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	16165661	17190862	405	-0.071
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	17195155	17260618	53	-0.5425
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	17261211	25583341	5281	-0.0666
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	25593128	25662005	30	1.1864
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	25662212	35102844	4973	-0.0678
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	35103033	35104043	9	0.4577
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	35104189	41021036	3195	-0.0782
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	41022076	41028210	4	-1.9655
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	41028926	106019205	41768	-0.0615
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	106019236	106024137	20	-0.7116
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	106024798	110227515	2666	-0.0703
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	110232974	110240178	17	-1.5613
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	110242953	148907270	8355	-0.0311
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	148910991	149229086	120	0.4615
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	149229808	152555527	1554	0.1562
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	152555706	152586576	34	-2.4054
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	152586594	152759678	172	0.1818
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	152761923	152768700	37	-0.5758
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	152773905	193155792	27161	0.1685
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	193156279	193156348	4	1.2379
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	193159723	196711187	2401	0.1762
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	196714822	196801442	88	0.5575
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	196801655	210071062	8834	0.1659
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	210081613	210083984	3	-2.9193
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	210086552	216722850	4538	0.1743
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	216725118	216725132	2	-1.4666
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	216728761	227425301	7147	0.1778
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	227426072	227426406	3	-1.611
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	227429178	231912407	2887	0.1766
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	231912592	231912893	3	-1.3144
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	231915608	239457218	5869	0.1705
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	239465591	239466347	5	-1.1174
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	239468556	243059145	2855	0.1765
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	243059155	243084694	30	-0.1759
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	243085556	248749219	3624	0.164
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	248749560	248809109	35	-0.5691
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	1	248809369	249224388	140	0.1663
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	12784	22598926	16669	-0.0597
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	22600920	22600932	2	-1.8871
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	22601152	34181371	7046	-0.0592
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	34181564	34185614	2	-1.6249
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	34185660	34691069	397	-0.0513
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	34699315	34737057	46	-0.6806
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	34737163	52754728	13054	-0.072
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	52754865	52764475	14	-0.6904
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	52764813	52781295	13	-1.2851
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	52781326	52781522	7	-0.6067
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	52781542	90244232	23036	-0.0668
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	90247431	91890841	81	0.2563
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	91891552	98118212	973	-0.0438
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	98140747	98161710	8	-1.1959
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	98162189	106880095	5582	-0.053
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	106880713	106887255	12	-0.7247
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	106887408	114362015	3842	-0.062
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	114362414	114380821	3	-1.3089
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	114383552	123477014	5712	-0.0567
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	123479899	123482241	9	-1.0275
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	123483653	129638078	3890	-0.0607
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	129638478	129640297	14	-1.0305
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	129640315	164636852	21116	-0.0566
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	164643488	164645126	5	-1.7314
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	164646642	194687745	18302	-0.0578
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	194690304	194693798	2	1.7325
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	194702314	211981461	10297	-0.0598
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	211982807	211983316	3	-1.2443
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	2	211983943	243089456	19961	-0.06
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	60345	224602	157	-0.3722
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	230022	232639	3	-3.885
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	232800	60647490	41297	-0.3596
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	60647540	60654169	3	-1.8344
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	60655202	68746164	6389	-0.3414
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	68746259	68747413	14	-2.116
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	68748758	75421170	4876	-0.3554
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	75427107	75545172	51	-2.1815
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	75545822	75608639	19	-0.675
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	75613174	75638741	4	-1.9485
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	75639507	75881273	68	-0.0737
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	75891921	81596092	3345	-0.3493
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	81596104	81597307	2	-2.7144
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	81600797	128384523	25733	-0.3501
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	128386602	128414161	15	0.788
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	128421166	129811262	682	-0.3628
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	129811271	129920258	31	0.0964
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	129921219	159518918	18381	-0.3511
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	159520740	162123366	1597	0.1921
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_G01_697682	3	162137600	162142593	12	-0.8256
