Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	3208470	116208960	65228	0.007
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	116213392	116215711	4	-1.0861
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	1	116217773	245880329	63846	0.005
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	2	474222	23693606	15013	-5e-04
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	2	23699169	23718681	15	-0.4904
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	2	23723152	36185341	6266	0.0117
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	2	36185623	36185727	4	-0.956
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	2	36207369	180645095	75314	-0.0018
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	2	180645851	180649047	4	-1.4281
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	2	180649731	242124735	34681	0.0057
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	3	526235	128198748	69563	0.003
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	3	128207059	128219958	4	-1.215
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	3	128221168	199023074	36833	4e-04
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	4	1043934	8523739	4175	-0.0126
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	4	8523950	8532159	3	-1.2104
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	4	8532330	188346407	98174	-0.0052
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	4	188346420	188347279	2	-1.6975
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	4	188350022	189836143	388	0.0048
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	5	967233	160526463	88721	-0.0025
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	5	160530355	160532120	4	-1.0791
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	5	160537468	167229018	4158	-0.0035
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	5	167233870	167235895	4	-1.0589
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	5	167235978	174986459	5417	0.0054
BEFIT_p_TCGAb32_SNP_S_GenomeWideSNP_6_B09_584948	5	174988121	174988419	2	-1.2312
