Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	61735	16844932	8711	0.044
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	16846035	16921719	12	-0.5971
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	16923012	35102844	10421	0.049
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	35103033	35104491	16	-0.4697
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	35114268	50012288	8430	0.0494
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	50023956	50025534	4	-0.9641
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	50035049	83829675	22572	0.0278
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	83829841	83829980	2	-1.706
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	83833922	104163787	12978	0.0263
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	104178038	104257096	19	0.5405
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	104257579	106019205	926	0.0237
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	106019236	106022375	16	-1.6891
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	106024055	110224384	2655	0.0277
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	110224427	110236947	28	-0.3616
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	110239522	112690326	1956	0.0533
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	112695965	112706062	28	0.7106
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	112706082	144560365	5232	0.0285
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	144564584	144880109	17	-0.7333
CABAL_p_TCGA_b112_125_SNP_N_GenomeWideSNP_6_B02_780768	1	144880155	148585337	1080	0.0059
