Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	1	3218610	247813706	128970	0.002
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	2	484222	242476062	131106	0.0019
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	3	2212571	197538677	106241	-0.0015
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	4	1053934	188763651	102596	5e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	5	914233	9757645	6393	-5e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	5	9757852	9766150	3	1.1274
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	5	9766265	126049287	61125	-0.002
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	5	126055023	126096497	19	-1.0715
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	5	126096992	180360469	32824	0.0041
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	6	1014281	12718377	8373	0.0077
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	6	12718501	12719126	2	-1.556
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	6	12719392	13278753	445	0.0019
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	6	13278788	13280641	4	-0.7686
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	6	13281119	18500884	3426	0.0023
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	6	18500921	18501345	4	-1.271
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	6	18503274	161846415	79774	3e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	6	161848514	161860636	16	-0.938
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	6	161863075	170903919	4310	-0.0031
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	7	705284	158385118	81210	-0.0011
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	8	617667	60591613	32066	-0.0016
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	8	60595880	60598517	2	-1.8574
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	8	60599115	145232496	49349	-6e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	9	789932	1722942	368	0.0069
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	9	1723376	1759811	57	0.5436
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	9	1760175	140938752	67511	0.0045
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	10	415240	135225087	80753	0.0076
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	11	456120	20603573	12795	-0.0022
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	11	20604840	20606511	6	-0.8992
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	11	20608789	60178285	20027	-0.0031
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	11	60185775	60190677	4	-1.3455
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	11	60192159	134142530	44273	9e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	12	889902	133161346	73850	7e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	13	19450806	114987458	56569	-0.0036
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	14	20501368	105988038	49367	0.0013
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	15	23687685	101884307	44466	0.0018
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	16	653459	6161004	2355	0.008
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	16	6161120	6161459	3	-1.1765
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	16	6161794	89379936	38377	0.0049
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	17	987221	80917016	36945	0.0024
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	18	329586	64936529	36607	-0.0077
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	18	64936722	64936779	2	-1.3971
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	18	64937041	77109240	5993	-0.0146
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	19	284018	23707408	8725	-6e-04
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	19	23709320	23709348	2	-1.2723
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	19	23712967	51545251	12070	0.0023
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	19	51546521	51546642	2	-1.1781
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	19	51548900	58878226	3107	0.0062
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	20	455764	62219837	37222	0.0028
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	21	15347621	47678774	20549	0.0049
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	22	17423930	49331012	16905	0.0015
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	X	3157107	26508208	10034	-0.0017
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_F01_730664	X	26512788	26513111	2	-1.2405
