Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	1	3208470	192774423	95254	0.0179
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	1	192776473	192784389	4	1.5396
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	1	192785021	245880329	33785	0.0183
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	2	474222	242124735	131281	0.2533
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	3	526235	199023074	106266	-0.3094
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	4	1043934	189836143	102702	0.0171
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	5	967233	83925424	44972	0.2781
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	5	83926362	83941586	3	-1.6332
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	5	83941715	180293075	55533	0.2744
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	6	959281	37981188	21943	0.0184
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	6	37982949	37986030	3	-1.6566
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	6	37990758	170745844	74503	0.0168
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	7	671810	24001652	12184	0.0125
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	7	24006403	24006908	2	-1.6651
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	7	24007342	51918996	18120	0.011
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	7	51919468	51921433	6	-0.9936
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	7	51921582	158077879	50984	0.0135
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	8	607667	18081085	9122	-0.3307
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	8	18087047	18089780	2	-2.7037
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	8	18090857	134176634	66087	-0.3163
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	8	134177477	134177635	2	-2.282
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_D07_697476	8	134177728	145304484	6207	-0.3222
