GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8cd9356c-59ed-4ed0-887f-abbb90122897	1	62920	833413	37	0.3276
8cd9356c-59ed-4ed0-887f-abbb90122897	1	841742	1948516	284	0.063
8cd9356c-59ed-4ed0-887f-abbb90122897	1	1956754	1956930	2	-2.7398
8cd9356c-59ed-4ed0-887f-abbb90122897	1	1958678	16487426	8286	0.014
8cd9356c-59ed-4ed0-887f-abbb90122897	1	16488499	17015023	151	0.246
8cd9356c-59ed-4ed0-887f-abbb90122897	1	17016429	25256850	5222	0.0201
8cd9356c-59ed-4ed0-887f-abbb90122897	1	25266637	25346663	27	0.6434
8cd9356c-59ed-4ed0-887f-abbb90122897	1	25351593	34626073	4942	0.0051
8cd9356c-59ed-4ed0-887f-abbb90122897	1	34637053	34638890	20	-0.765
8cd9356c-59ed-4ed0-887f-abbb90122897	1	34648667	66205121	19788	-0.0093
8cd9356c-59ed-4ed0-887f-abbb90122897	1	66205152	66206653	5	-1.3634
8cd9356c-59ed-4ed0-887f-abbb90122897	1	66206849	72297687	3934	-0.0298
8cd9356c-59ed-4ed0-887f-abbb90122897	1	72302735	72345450	47	-0.9793
8cd9356c-59ed-4ed0-887f-abbb90122897	1	72345465	80271317	5002	-0.0304
8cd9356c-59ed-4ed0-887f-abbb90122897	1	80275990	80276213	2	-1.9394
8cd9356c-59ed-4ed0-887f-abbb90122897	1	80279754	90086206	6574	-0.0294
8cd9356c-59ed-4ed0-887f-abbb90122897	1	90086866	90093659	5	-1.1672
8cd9356c-59ed-4ed0-887f-abbb90122897	1	90094125	94111337	2409	-0.0313
8cd9356c-59ed-4ed0-887f-abbb90122897	1	94111867	94111906	2	-2.0591
8cd9356c-59ed-4ed0-887f-abbb90122897	1	94112141	102233991	5298	-0.028
8cd9356c-59ed-4ed0-887f-abbb90122897	1	102238929	102257367	11	-0.6136
8cd9356c-59ed-4ed0-887f-abbb90122897	1	102257426	103621165	717	-0.0329
8cd9356c-59ed-4ed0-887f-abbb90122897	1	103697067	103717410	3	1.5837
8cd9356c-59ed-4ed0-887f-abbb90122897	1	103717617	104709583	505	-0.0306
8cd9356c-59ed-4ed0-887f-abbb90122897	1	104711446	104711636	3	-1.6842
8cd9356c-59ed-4ed0-887f-abbb90122897	1	104712299	105470754	410	-0.0364
8cd9356c-59ed-4ed0-887f-abbb90122897	1	105476583	105479753	17	0.6789
8cd9356c-59ed-4ed0-887f-abbb90122897	1	105481433	109690352	2632	-0.0179
8cd9356c-59ed-4ed0-887f-abbb90122897	1	109690415	109697556	12	-2.109
8cd9356c-59ed-4ed0-887f-abbb90122897	1	109702376	112147704	1948	-0.0237
8cd9356c-59ed-4ed0-887f-abbb90122897	1	112153343	112154768	25	-2.4762
8cd9356c-59ed-4ed0-887f-abbb90122897	1	112163334	174827267	22616	-0.0144
8cd9356c-59ed-4ed0-887f-abbb90122897	1	174827418	174828549	14	-1.0594
8cd9356c-59ed-4ed0-887f-abbb90122897	1	174832599	193186662	12230	-0.037
8cd9356c-59ed-4ed0-887f-abbb90122897	1	193187149	193187218	4	-1.3734
8cd9356c-59ed-4ed0-887f-abbb90122897	1	193190593	193753412	453	-0.0365
8cd9356c-59ed-4ed0-887f-abbb90122897	1	193757206	193766389	3	-1.1244
8cd9356c-59ed-4ed0-887f-abbb90122897	1	193768328	196745743	1938	-0.0303
8cd9356c-59ed-4ed0-887f-abbb90122897	1	196758720	196846661	61	-2.6065
8cd9356c-59ed-4ed0-887f-abbb90122897	1	196847600	209897717	8772	-0.0141
