Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	1	3208470	63242091	33376	0.0369
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	1	63244080	63244691	3	-1.075
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	1	63245456	87766418	15095	0.0309
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	1	87769342	87770935	3	-0.9684
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	1	87777003	245880329	80620	0.0375
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	2	474222	3762245	1387	0.0195
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	2	3764400	3764812	3	-0.8848
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	2	3764889	44510128	24704	0.0291
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	2	44513943	44514588	3	-0.9865
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	2	44516656	242124735	105215	0.029
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	3	526235	140627305	76336	-0.3865
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	3	140629135	199023074	30024	0.0344
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	4	1043934	17872135	10611	0.0326
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	4	17873742	17873919	2	-1.0808
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	4	17880256	28925172	7066	0.0293
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	4	28927337	28927347	2	-1.4243
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	4	28927363	125678855	51381	0.0307
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	4	125679801	125682385	3	-1.1692
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	4	125682475	189836143	33675	0.0293
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	5	967233	98449789	52483	0.0255
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	5	98451527	100242957	254	0.3385
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	5	100243655	101758350	625	0.0347
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	5	101771296	180274501	47156	0.3416
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	5	180278690	180293075	7	0.0791
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	6	959281	56398501	33478	0.0343
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	6	56398774	56398907	4	-1.0821
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	6	56400276	170745844	62999	0.0336
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	7	671810	105785280	53683	0.3386
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	7	105793073	109062948	1867	0.023
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	7	109075540	109193119	65	0.3373
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	7	109195261	114735587	2486	0.0232
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	7	114735804	115361180	378	-0.3826
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	7	115365063	115471528	39	0.1465
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	7	115478742	116967207	1031	-0.3844
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	7	116977939	117189778	110	0.0074
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	7	117192753	158077879	21664	-0.399
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	8	607667	145304484	81527	0.0295
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	9	779932	140058573	67984	-0.3841
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	10	405240	135075077	80875	0.0245
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	11	446120	94052022	50880	0.0319
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	11	94053391	94071926	10	-0.5808
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	11	94075751	133647740	26365	0.0307
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	12	760163	131671419	73958	0.029
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	13	18348806	114005560	56662	0.0297
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	14	19571208	105059083	49425	-0.3843
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	15	21238778	99701830	44536	0.0354
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	16	593460	87907437	40864	0.0337
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	17	933971	78510305	36988	0.0372
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	18	319586	31334194	16867	0.3508
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	18	31335152	31335158	2	-0.7708
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	18	31335739	75210228	25801	0.3498
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	19	235018	63570038	23950	0.0339
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	20	403764	61690281	37279	0.0306
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	21	14269492	46503202	20583	0.0295
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	22	15803930	47717016	16927	0.0383
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E03_748588	X	3167107	154558783	63704	0.0029
