Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	1	3218610	179610058	85955	0.0511
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	1	179621932	179622081	2	-1.5344
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	1	179623244	247813706	43052	0.0553
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	2	484222	229604183	123759	0.0552
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	2	229608271	229618184	9	-0.7737
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	2	229626575	242476062	7415	0.0516
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	3	2212571	66350294	37379	-0.1744
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	3	66352241	67709808	956	0.076
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	3	67710605	69506042	1182	-0.1687
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	3	69506416	197538677	66762	0.0591
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	4	1053934	84012038	45689	0.0619
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	4	84013292	84014610	2	-1.8864
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	4	84015650	188763651	56961	0.0653
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	5	914233	180360469	100406	0.0602
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	6	1014281	170903919	96373	-0.1734
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	7	705284	158385118	81267	0.0826
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	8	617667	118625888	64560	-0.1742
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	8	118634613	145232496	16877	0.0595
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	9	789932	123684891	58830	-0.1718
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	9	123684930	123684943	2	-2.3064
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	9	123685632	140938752	9109	-0.188
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	10	415240	135225087	80804	0.0424
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	11	456120	134142530	77173	0.0567
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	12	889902	75179421	39997	0.1088
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	12	75185912	75186314	3	-1.0863
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	12	75187700	133161346	33851	0.1108
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	13	19450806	114987458	56578	-0.168
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	14	20501368	105988038	49379	-0.1746
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	15	23687685	101884307	44493	0.049
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	16	653459	89379936	40748	0.0503
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_D09_729496	17	987221	9622544	4325	0.0346
