Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B08_697490	1	3208470	238885271	125292	-0.0175
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B08_697490	1	238887139	238887696	3	-1.2535
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B08_697490	1	238891923	245880329	3778	-0.0266
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B08_697490	2	474222	158513626	83117	-0.0228
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B08_697490	2	158515054	158517028	2	-1.6121
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B08_697490	2	158517053	242124735	48167	-0.0173
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B08_697490	3	526235	29765425	16228	-0.6211
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B08_697490	3	29766644	29766702	2	-2.7255
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B08_697490	3	29773438	46603448	10123	-0.606
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B08_697490	3	46609559	46609793	2	-2.8082
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B08_697490	3	46610332	58767201	6375	-0.6062
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B08_697490	3	58773839	58773907	2	-2.7513
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B08_697490	3	58774924	65734064	4327	-0.6057
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B08_697490	3	65736358	65798374	64	-0.0142
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B08_697490	3	65803435	65813034	10	-0.5352
SPIKE_p_TCGA_B64_SNP_N_GenomeWideSNP_6_B08_697490	3	65813519	67105379	710	-0.0176
