Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	1	3218610	5505009	1468	0.0758
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	1	5512669	12448983	3645	-0.2895
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	1	12449443	23019135	5672	0.0774
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	1	23019544	27571188	2093	-0.2824
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	1	27572857	52279712	12766	0.0781
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	1	52281484	62914895	7352	-0.2901
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	1	62922660	65699894	2020	0.0711
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	1	65703484	72195843	4026	-0.2969
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	1	72199451	72329905	64	-0.7463
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	1	72330424	72413940	40	-0.3194
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	1	72430421	72632274	133	-0.84
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	1	72633303	120522601	28372	-0.3046
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	1	120523902	247813706	61254	0.0529
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	2	484222	242476062	131138	0.0395
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	3	2212571	70960664	40536	-0.3249
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	3	70963842	70967199	2	-4.2814
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	3	70977418	83644799	7101	-0.3262
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	3	83645063	83946493	156	0.3356
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	3	83946597	83949182	2	-2.1019
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	3	83952144	197538677	58433	0.3345
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	4	1053934	188763651	102467	-0.3164
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	5	914233	65522888	34851	0.7125
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	5	65529512	65534602	8	-1.0714
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	5	65537947	137563983	39511	0.5575
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	5	137568867	180360469	26079	0.9213
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	6	1014281	170903919	96244	-0.3248
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	7	705284	86002519	43947	0.3332
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	7	86002895	86003487	2	-1.7193
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	7	86011135	104643947	8909	0.3295
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	7	104644009	104644243	3	-1.7179
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	7	104644403	158385118	28420	0.3235
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	8	617667	5163438	2416	-0.8789
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	8	5165067	5165199	2	-4.7169
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	8	5165467	42933372	22103	-0.8258
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	8	47460945	79135222	18210	0.055
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	8	79139456	79395651	118	-0.8662
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	8	79396198	145232496	38389	0.0521
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	9	789932	140938752	67824	-0.3062
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	10	415240	28371479	19253	0.0245
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	10	28376626	28380520	2	-2.0253
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	10	28380669	38027730	6434	0.0328
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	10	38029533	38031957	2	-2.9845
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	10	38033549	135225087	55101	0.0255
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	11	456120	121983802	68804	0.0537
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	11	121984236	121986323	2	-2.2969
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	11	121986404	134142530	8355	0.0483
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	12	889902	133161346	73880	0.3324
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	13	19450806	114987458	56577	0.0527
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	14	20501368	105988038	49321	-0.3112
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	15	23687685	101884307	44483	0.0579
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	16	653459	63496014	24757	0.0781
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	16	63516402	63657185	111	-0.2447
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	16	63657786	66035743	1752	0.0909
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	16	66036144	66036763	4	-1.4681
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	16	66043381	89379936	14117	0.0809
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	17	987221	43088102	17642	-0.2776
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	17	43089297	43110730	5	-1.6924
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	17	43112557	54052324	5258	-0.2828
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	17	54053594	54053698	2	-2.3876
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	17	54054484	80917016	13973	-0.2889
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	18	329586	10262467	5693	-0.3026
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	18	10264300	10265189	2	-3.7672
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	18	10266295	77109240	36845	-0.3049
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	19	284018	28275124	8983	0.0426
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	19	28275482	38839092	6698	0.343
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	19	38840896	38846892	3	-1.2557
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	19	38847400	58878226	8240	0.3223
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	20	455764	62219837	37240	0.0755
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	21	15347621	44453569	19290	0.0604
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	21	44454152	44458292	7	-1.3083
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	21	44459743	47678774	1261	0.0401
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	22	17423930	44335744	13231	0.0704
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	22	44335956	44336405	2	-2.4926
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	22	44339657	49331012	3674	0.0853
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	X	3157107	9006291	1049	0.2087
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	X	9006548	9006727	2	-3.4133
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	X	9008934	20461615	5819	0.2231
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	X	20461789	20462672	2	-3.0984
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	X	20465867	48466052	13328	0.2289
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	X	48467066	48467186	2	3.6848
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	X	48469467	81352592	10672	0.2238
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	X	81358988	81362511	2	-4.2686
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	X	81364691	91426859	3996	0.2045
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	X	91427083	91469340	44	-0.7646
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	X	91470050	98520125	2809	0.2186
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	X	98522549	144257104	20828	-0.4898
DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_H05_729406	X	144266185	154905589	4580	0.2412
