Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	61735	228729	19	0.7567
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	229075	2468400	485	-0.0281
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	2473258	2548580	19	-0.7346
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	2549365	17190862	8211	-0.0038
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	17195155	17261248	55	-0.4865
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	17261263	55721319	21617	-0.003
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	55723441	55724299	7	-1.3337
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	55729368	72768498	12269	0.005
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	72768916	72811148	46	-0.7274
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	72811904	104159384	19992	0.007
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	104163499	104260032	24	0.7951
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	104260239	106012754	919	0.0015
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	106013376	106022375	18	0.7027
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	106024055	144842558	9853	0.0054
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	144849539	144868360	5	1.6328
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	144869084	152762008	2987	0.0396
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	152762046	152762285	3	-0.4966
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	152762394	152762903	9	-0.9904
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	152762978	152767864	11	-0.5092
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	152767884	169216937	11268	0.0026
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	169233974	169241766	7	-3.5738
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	169242401	246974421	52642	0.0057
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	246974438	246975015	3	-2.2938
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	246975034	248467092	926	0.0439
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	248467301	248467565	2	2.1283
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	1	248468705	249224388	291	0.0277
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	12784	20675226	15337	0.0014
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	20675601	20678570	3	-2.335
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	20684252	38012033	11100	0.0087
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	38012196	38012224	2	-3.2466
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	38012779	52754468	10468	0.0137
NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_C07_730612	2	52754480	52758790	9	-1.0736
