Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	1	3208470	90596252	50258	-0.0264
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	1	90597240	90608525	15	-1.1274
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	1	90609327	236533455	73192	-0.0257
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	1	236536680	236537568	5	-0.9558
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	1	236538699	242333440	4024	-0.0284
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	1	242335457	242335489	2	-1.5885
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	1	242337137	245880329	1549	-0.0342
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	2	474222	242124735	131265	-0.0203
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	3	526235	66535251	37390	-0.4533
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	3	66535607	66536331	2	-3.1763
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	3	66536461	83930603	10334	-0.4493
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	3	83935452	199023074	58505	-0.0173
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	4	1043934	28925172	17668	-0.0331
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	4	28927337	28927347	2	-1.5881
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	4	28927363	45588584	9362	-0.0178
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	4	45589409	45590003	4	-0.8872
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	4	45593463	62991520	7555	-0.0278
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	4	62991762	62992166	3	-1.1307
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	4	62994984	64798357	736	-0.0147
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	4	64800467	64800620	2	1.6717
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	4	64803222	109710013	24654	-0.0216
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	4	109711881	109739714	3	-1.9082
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	4	109749774	112429187	1579	-0.0372
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	4	112431655	112436250	3	-1.1525
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	4	112437259	189836143	41145	-0.0241
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	967233	85371054	45662	-0.0249
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	85374040	85980583	327	0.3149
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	85983621	86067195	51	-0.0449
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	86069388	86206323	94	0.2819
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	86207782	86277463	39	-0.057
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	86278189	86483427	110	0.2675
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	86485984	87982881	721	-0.0127
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	87986046	88147480	82	0.3355
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	88153146	88826453	356	-0.0366
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	88831884	89992773	593	0.2985
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	90004382	91414962	746	-0.02
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	91415265	91834717	165	0.2995
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	91835944	92468666	333	0.0125
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	92469530	95574271	1630	0.3035
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	95575749	95727330	74	-0.0032
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	95729629	154882808	33972	0.2907
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	154886177	154908473	10	0.9106
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	154909299	173632718	12288	0.2895
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	173633787	173635585	3	1.2364
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	5	173635809	180293075	3241	0.2882
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	6	959281	66756054	36056	-0.0199
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	6	66756268	66756303	2	-2.1683
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	6	66756421	170745844	60389	-0.021
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	7	671810	24001652	12182	0.1513
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	7	24006403	24006908	2	-1.3226
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	7	24007342	35500331	7502	0.1571
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	7	35502036	35503030	5	-0.5443
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	7	35503066	158077879	61611	0.146
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	8	607667	15156609	7056	-0.0339
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	8	15156638	15158886	2	-1.394
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	8	15158948	17580351	1585	-0.0241
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	8	17580368	17580828	2	-2.6297
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	8	17583047	145304484	72853	-0.0265
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	9	779932	86920385	35015	-0.0299
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	9	86920714	86920775	2	-1.5513
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	9	86921551	102313590	9782	-0.0272
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	9	102320146	102320282	2	-1.3684
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	9	102321570	140058573	23194	-0.0313
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	10	405240	135075077	80838	-0.0363
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	11	446120	23946623	15212	-0.034
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	11	23947580	23948816	2	-1.7682
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	11	23949233	133647740	62008	-0.0307
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	12	760163	53273812	28001	0.1613
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	12	53276730	53282139	7	-0.7597
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	12	53283639	131671419	45932	0.158
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	13	18348806	47807202	18652	-0.0332
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	13	47809265	47809391	6	-1.0314
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	13	47815440	114005560	37975	-0.0223
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	14	19571208	34171345	7956	-0.0615
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	14	34246481	34255308	5	-1.73
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	14	34255340	57101345	12332	-0.0625
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	14	57101477	57103305	2	-2.088
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	14	57103778	105059083	29126	-0.0646
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	15	21238778	55823247	18304	-0.0326
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	15	55826184	55826234	2	-1.352
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	15	55827560	99701830	26212	-0.0301
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	16	593460	57406825	21945	0.2703
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	16	57406890	57407072	2	-0.9477
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	16	57409087	70557258	7380	0.2711
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	16	70557696	70559440	3	-1.324
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	16	70561900	81040898	7584	0.2702
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	16	81041210	81042352	5	-0.5604
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	16	81042649	87907437	3947	0.2858
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	17	933971	44393390	18942	-0.035
SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_B09_748472	17	44393470	44393750	3	-1.1933
