Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	1	3208470	52454022	25852	0.048
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	1	52465936	54556449	1269	0.4077
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	1	54557085	119793685	40283	0.0677
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	1	119794233	119795299	3	0.9977
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	1	119795618	179006647	19273	0.0569
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	1	179014940	179022284	6	-0.8044
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	1	179024251	245880329	42412	0.0646
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	2	474222	242124735	131319	0.058
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	3	526235	36894947	20679	-0.4311
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	3	36895054	36897062	2	-1.9963
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	3	36898379	125517057	47222	-0.4358
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	3	125521995	127280603	1084	0.0777
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	3	127286115	128734619	899	-0.4262
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	3	128734711	128813672	44	0.0939
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	3	128821761	128865200	22	-0.4918
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	3	128868290	129014169	126	0.069
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	3	129020998	129043011	13	-0.4363
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	3	129046845	129310463	163	0.0772
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	3	129313275	129350384	10	-0.4024
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	3	129351411	129618347	186	0.0968
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	3	129620564	130184888	251	-0.4203
REEDY_p_TCGAb65_SNP_N_GenomeWideSNP_6_E07_697604	3	130188824	133048412	1428	0.0858
