Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	1	3218610	247813706	129140	4e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	2	484222	242476062	131299	-0.0016
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	3	2212571	55786540	31026	0.0072
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	3	55790029	55790764	2	-1.5168
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	3	55795526	61126821	2485	0.008
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	3	61127205	61128017	3	-1.2887
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	3	61130900	111730487	27092	0.0091
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	3	111730546	111733282	3	-1.4658
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	3	111734298	197538677	45769	0.0059
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	4	1053934	188763651	102751	0.0024
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	5	914233	180360469	100512	0.0032
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	6	1014281	170903919	96507	-0.0044
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	7	705284	158385118	81339	0.0197
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	8	617667	102681337	56089	-0.0102
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	8	102681760	102683331	4	-1.0829
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	8	102689319	145232496	25446	-0.0061
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	9	789932	79028621	28942	0.0031
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	9	79028896	79030277	4	-1.3812
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	9	79032397	140938752	39081	8e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	10	415240	79363388	45724	0.0301
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	10	79363723	79364564	3	-1.1816
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	10	79369274	135225087	35141	0.0333
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	11	456120	98816571	53671	0.0012
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	11	98822220	98827370	7	-1.3056
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	11	98832614	134142530	23568	-0.0015
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	12	889902	133161346	73929	0.0075
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	13	19450806	114987458	56658	-0.0076
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	14	20501368	105988038	49435	-0.0018
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	15	23687685	101884307	44531	4e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	16	653459	89379936	40807	0.0012
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	17	987221	80917016	36989	-1e-04
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	18	329586	77109240	42663	-0.0428
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	19	284018	58878226	23949	-0.004
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	20	455764	62219837	37281	0.0018
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	21	15347621	47678774	20588	-0.0141
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	22	17423930	49331012	16928	-0.0129
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	X	3157107	9691455	1590	0.0046
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	X	9691510	9691538	2	-5.0199
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	X	9694456	153713097	62084	0.0081
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	X	153713167	153713787	2	-4.6712
BUBBY_p_TCGA_b89_105_SNP_N_GenomeWideSNP_6_D05_777560	X	153714314	154905589	36	0.0493
