GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	62920	16863509	8704	0.0104
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	16864367	16951445	56	0.3911
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	16955930	25256352	5256	-0.0048
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	25256800	25336853	28	0.4944
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	25346663	30266949	2393	-0.0011
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	30268649	30272363	4	1.1552
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	30274729	34637053	2550	0.0083
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	34637069	34638890	19	-2.4189
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	34648667	37158944	1312	-0.0014
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	37159461	37161380	3	1.1792
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	37161688	38666759	882	0.0067
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	38666760	38666761	2	-1.688
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	38669516	54833466	9006	0.0026
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	54836135	54839050	5	-1.0214
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	54839163	61395456	5048	-0.0047
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	61395882	61396079	2	-1.5746
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	61397990	65432268	3004	-0.0098
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	65432318	65440582	3	1.7163
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	65441079	69344050	2711	-0.0004
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	69345301	69362837	8	-1.1108
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	69365297	72297687	1776	-0.0009
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	72302735	72346221	49	1.5975
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	72346757	79931011	4762	0.0045
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	79935017	79935914	2	-1.7777
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	79937482	81422771	1011	-0.0145
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	81422917	81422920	2	2.1848
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	81422982	81478719	91	-0.0184
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	81483300	81483394	2	-1.6168
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	81485707	103560608	14124	-0.0036
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	103566616	103616762	27	0.7602
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	103620877	109679105	3573	0.0006
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	109684695	109697556	14	1.2124
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	109702376	110836603	847	-0.0093
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	110836704	110841350	26	-0.6221
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	110845562	152588065	8706	0.0029
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	152588392	152588407	2	-3.3974
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	152598693	152789447	192	0.0464
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	152789463	152796224	36	-1.7922
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	152801429	189115773	24348	0.0035
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	189116196	189120286	10	-0.8741
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	189120301	193186662	2704	-0.0052
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	193187149	193187218	4	1.365
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	193190593	196745743	2397	-0.0105
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	196758720	196832525	57	-1.705
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	196832720	196859808	15	-0.448
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	196862194	199142235	1364	-0.0081
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	199142298	199143343	5	-3.1602
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	199143396	199144712	3	-1.1369
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	199145110	248574146	34267	0.0039
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	248585893	248645808	34	-0.7772
ef1f2e89-3e07-483e-9c48-e12f95e04389	1	248646068	248930189	139	0.02
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	12784	34466002	24088	0.0032
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	34474248	34512489	48	0.7715
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	34512965	41011095	4800	0.0029
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	41011303	41018409	21	-0.6713
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	41018747	52527330	8180	0.0033
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	52527342	52563002	41	0.4276
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	52563355	71115321	12254	-0.0036
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	71119433	71119695	6	-1.0729
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	71120262	74865434	1971	-0.0022
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	74865647	74867131	5	-1.4421
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	74867757	86710564	7679	-0.0038
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	86725947	86726731	2	-1.8633
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	86743283	117040922	13376	-0.0073
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	117040936	117048015	3	1.6068
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	117048220	127094445	6488	0.0013
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	127099470	127100187	2	2.3979
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	127100370	131458124	2354	0.0091
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	131464435	131468795	3	-1.9231
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	131472229	159099246	16904	-0.0071
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	159100008	159107684	10	0.7246
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	159108004	176394114	10634	-0.0043
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	176402448	176407805	2	2.1765
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	176410410	179548644	2066	-0.0095
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	179553484	179557410	30	-0.7508
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	179560916	188703060	5389	-0.0043
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	188703229	188714106	23	-0.9069
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	188714283	211123543	13230	-0.0018
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	211123653	211125464	11	-0.7616
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	211125630	213722654	1761	-0.0094
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	213723502	213727767	12	-0.595
ef1f2e89-3e07-483e-9c48-e12f95e04389	2	213730810	242147305	18108	-0.0014
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	20930	306319	274	0.0605
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	307429	307484	2	-1.8537
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	307688	41731715	29910	0.0049
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	41738655	41747000	7	-1.1923
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	41754349	68697013	17592	0.0052
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	68697108	68698262	14	1.075
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	68699607	75372019	4868	0.0029
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	75377956	75590356	71	-0.6779
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	75596233	84420591	4840	-0.0014
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	84422926	84425400	4	-1.1255
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	84429919	87485979	1755	0.0003
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	87491339	87491628	2	-1.4748
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	87496002	89210883	918	0.0163
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	89211124	89211511	4	-0.9802
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	89211843	99226455	3454	-0.0043
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	99226551	99232539	26	0.4762
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	99232990	130068178	18715	0.0043
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	130068356	130079892	20	0.7089
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	130079938	130133020	25	-0.0474
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	130137637	130137903	2	-1.7828
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	130141782	147056790	10572	0.0033
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	147057353	147060872	2	-1.5519
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	147061623	162499233	9470	0.0017
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	162500556	162501061	6	0.8371
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	162501081	162790404	190	0.0176
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	162790480	162819035	20	0.5363
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	162822221	162822702	3	1.8553
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	162827928	162908207	48	0.4572
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	162908784	193160113	19169	-0.0029
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	193160173	193165114	19	-1.084
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	193168646	195673928	1487	-0.0178
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	195683075	195754940	45	-0.3609
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	195755499	195934679	75	-0.0503
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	195963975	195982791	6	-1.5551
ef1f2e89-3e07-483e-9c48-e12f95e04389	3	195991894	198169247	1079	-0.009
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	68929	9455251	5156	-0.0134
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	9459504	9477699	6	1.6432
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	9484440	10212536	541	-0.0164
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	10221792	10229874	28	-2.269
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	10232590	10232642	2	1.5964
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	10232984	22735479	9238	-0.001
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	22735763	22743206	3	-2.2384
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	22743371	33374961	6964	-0.009
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	33377514	33384564	11	-0.8713
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	33386731	34777432	763	-0.0096
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	34784878	34823103	38	0.5305
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	34828250	64953788	17241	0.0043
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	64953968	64974300	40	-0.9515
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	64978333	69257792	2557	0.0005
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	69261926	69283159	15	-0.3198
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	69283439	69311290	17	-0.9149
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	69317026	69424538	51	-0.2964
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	69424683	74209304	2860	-0.0052
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	74215399	74216395	4	-1.4164
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	74216450	100630504	16196	0.0034
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	100630593	100695124	35	-0.9505
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	100696706	103824414	1899	-0.0004
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	103830473	103830480	5	1.1009
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	103830487	114252544	6300	-0.0059
ef1f2e89-3e07-483e-9c48-e12f95e04389	4	114254167	114263154	27	0.7633
