Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	1	3218610	195716776	95922	0.0091
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	1	195719146	195726983	9	-1.0327
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	1	195731318	240818648	29413	0.0096
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	1	240820516	240825300	4	-1.1071
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	1	240826616	247812431	3777	0.0011
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	2	484222	18584209	11526	0.0062
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	2	18590974	18591276	4	-1.1321
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	2	18591751	242476062	119738	0.0063
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	3	2212571	41813362	23765	0.0093
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	3	41817375	82308740	23321	-0.545
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	3	82309575	184523185	52195	0.0088
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	3	184524522	184524524	2	-2.4386
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	3	184524633	197538677	7057	-0.0014
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	4	1053934	188763651	102739	0.011
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	5	914233	1315343	65	0.3778
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	5	1321873	1322087	2	-1.27
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	5	1322693	114756455	60988	0.382
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	5	114756637	114756862	5	-0.7524
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	5	114759078	180360469	39458	0.3832
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	6	1014281	170903919	96453	-0.2399
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	7	705284	158385118	81310	-0.0012
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	8	617667	145232496	81547	0.2119
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	9	789932	29711281	17981	-0.2378
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	9	29712026	29780373	60	-0.6127
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	9	30008343	119499061	37634	-0.2355
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	9	119501638	119522445	26	-1.2403
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	9	119538823	132618066	8215	-0.2303
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	9	132618079	132618201	3	-1.4559
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	9	132621199	134594308	1194	-0.2295
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	9	134594885	134596357	2	-2.5227
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	9	134596675	140938752	2888	-0.2286
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	10	415240	120252105	71375	-0.002
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	10	120252606	120252855	2	-1.9361
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	10	120252950	126854297	4826	-0.0125
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	10	126856255	126857576	2	-1.4901
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	10	126862606	135225087	4647	-0.0061
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	11	456120	100819447	55110	0.0014
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	11	100819546	100819959	2	-1.7325
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	11	100820663	134142530	22123	-0.0014
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	12	889902	133161346	73944	0.2091
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	13	19450806	25589995	2962	-0.2361
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	13	25595683	25598118	6	-1.5434
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	13	25598246	114987458	53653	-0.2403
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	14	20501368	56750191	19401	-0.236
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	14	56751217	56752597	2	-3.4483
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	14	56752719	105988038	30016	-0.2352
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	15	23687685	101884307	44527	0.0104
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	16	653459	83793995	38141	0.0068
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	16	83793997	83794006	2	-1.6081
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	16	83794024	89379936	2644	0.0071
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	17	987221	80917016	36980	0.0105
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	18	329586	22042788	10009	-0.2163
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	18	22043685	22044282	2	-1.7123
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	18	22044400	23532611	1064	-0.2075
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	18	23534765	23534768	2	-2.3976
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	18	23535593	77109240	31574	-0.219
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	19	284018	58878226	23942	0.0129
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	20	455764	62219837	37284	0.211
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	21	15347621	47678774	20581	0.2035
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	22	17423930	49331012	16926	0.0123
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_H10_742046	X	3157107	154905589	63689	0
