Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	1	3218610	247813706	129088	0.0027
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	2	484222	5792864	2777	-0.0065
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	2	5795191	5802718	13	-1.0111
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	2	5804478	167376830	85250	-6e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	2	167377767	167377995	3	-1.2944
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	2	167382404	183746457	10265	-0.001
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	2	183754403	183755256	3	-1.1344
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	2	183755330	217405203	17756	9e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	2	217408103	217408221	2	-2.1286
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	2	217408239	242476062	15181	0.0042
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	3	2212571	129133463	70848	-0.0033
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	3	129134410	129134418	2	-1.6632
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	3	129134435	197538677	35506	-5e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	4	1053934	188763651	102729	-4e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	5	914233	180360469	100475	-0.0011
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	6	1014281	170903919	96466	-6e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	7	705284	158385118	81290	-0.0037
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	8	617667	120325324	65938	-5e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	8	120328003	120376789	39	0.5471
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	8	120377227	145232496	15537	0.002
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	9	789932	140938752	67999	0.004
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	10	415240	135225087	80837	-0.0041
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	11	456120	134142530	77216	0.0027
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	12	889902	133161346	73914	-0.001
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	13	19450806	114987458	56633	7e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	14	20501368	77692781	32068	0.0016
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	14	77693815	77696180	2	-1.4176
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	14	77696624	105988038	17356	0.0013
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	15	23687685	41745492	8931	-0.0022
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	15	41751678	41819770	28	0.4601
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	15	41819968	42028974	104	0.0166
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	15	42038164	42192040	88	0.5666
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	15	42192772	98254111	33359	0.006
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	15	98255127	98255928	3	-1.9776
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	15	98256227	101884307	1997	0.0049
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	16	653459	65929147	26534	0.0036
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	16	65929443	65930903	2	-1.9991
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	16	65932333	71419230	2402	-0.0012
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	16	71420048	71455259	28	0.5944
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	16	71456142	89379936	11804	0
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	17	987221	80917016	36975	0.0039
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	18	329586	3054587	1013	0.0136
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	18	3057072	3058407	4	-1.0374
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	18	3059507	3973509	626	0.0119
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	18	3973988	3976855	2	-1.5909
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	18	3977713	7977468	2368	0.0045
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	18	7977684	7978038	2	-1.8156
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	18	7978206	77109240	38642	0.0041
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	19	284018	58878226	23939	0.0033
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	20	455764	62219837	37263	6e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	21	15347621	21121171	3642	-5e-04
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	21	21121738	21121751	2	-1.609
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	21	21122648	47678774	16928	0.0034
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	22	17423930	26625334	2274	0.0034
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	22	26625605	26641235	27	-0.3194
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	22	26641384	34760983	5776	0.0135
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	22	34761294	34761569	5	-0.886
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	22	34761573	49331012	8842	0.0096
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	X	3157107	64364209	24577	0.0049
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	X	64365191	64367019	2	-3.62
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	X	64370762	124689868	25949	0.01
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	X	124690728	124696035	3	-3.3519
TARSI_p_TCGAb70_SNP_N_GenomeWideSNP_6_G08_741904	X	124698148	154905589	13070	0.0078
