Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	1	3218610	10232200	3962	0.0034
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	1	10232534	10236402	3	-1.4575
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	1	10259900	18232574	3830	0.0022
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	1	18233159	18239046	4	-1.8025
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	1	18240697	247813706	120527	4e-04
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	2	484222	242476062	130637	7e-04
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	3	2212571	147829507	80272	0.0048
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	3	147831012	148795992	615	0.4605
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	3	148796555	197538677	24941	-0.001
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	4	1053934	188763651	102275	-0.0012
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	5	914233	180360469	100014	-0.0077
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	6	1014281	170903919	95963	-0.0047
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	7	705284	95576416	48377	-0.0065
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	7	95577466	95578114	2	-1.8658
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	7	95585045	158385118	32564	-0.0036
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	8	617667	19587103	10289	0.0047
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	8	19589113	19590193	5	-1.0726
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	8	19590800	26084458	4456	5e-04
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	8	26084615	26084763	2	-2.7675
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	8	26084962	145232496	66363	-0.0011
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	9	789932	8885088	5002	-0.0057
MOWED_p_TCGAb3_39_40_41_42_STY_GenomeWideSNP_6_C02_1377424	9	8885226	8885459	2	-2.6414
