GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	62920	915307	59	0.0867
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	939522	3305770	684	-0.0941
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	3305906	16864367	7939	0.0023
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	16868660	16935737	52	-0.5623
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	16935752	34626073	10220	-0.0043
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	34637053	34648667	21	-0.5837
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	34649941	72284670	23730	0.0094
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	72290430	72297687	9	-0.7743
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	72302735	72351338	52	0.293
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	72352916	109684695	23573	0.0064
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	109684893	109697533	13	-0.5351
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	109697556	110817313	820	0.0031
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	110817923	110837398	36	0.3154
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	110839857	112147704	1093	0.0123
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	112153343	112163591	37	0.2888
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	112163596	143748421	5242	0.0018
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	143748590	143760271	18	0.4155
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	143762042	152583230	2316	0.0235
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	152583291	152614064	32	1.2218
ff685e68-253c-4170-8035-4a9b9b41b9b1	1	152614100	248930189	65449	0.0062
ff685e68-253c-4170-8035-4a9b9b41b9b1	2	12784	108960382	68112	0.0119
ff685e68-253c-4170-8035-4a9b9b41b9b1	2	108962057	108971900	14	-1.1196
ff685e68-253c-4170-8035-4a9b9b41b9b1	2	108973924	124275726	8959	0.0109
ff685e68-253c-4170-8035-4a9b9b41b9b1	2	124277401	125684646	846	0.0727
ff685e68-253c-4170-8035-4a9b9b41b9b1	2	125694074	125694336	2	1.377
ff685e68-253c-4170-8035-4a9b9b41b9b1	2	125694355	125701563	22	0.0896
ff685e68-253c-4170-8035-4a9b9b41b9b1	2	125701587	128880353	1915	0.0041
ff685e68-253c-4170-8035-4a9b9b41b9b1	2	128880504	128882755	17	-0.3982
ff685e68-253c-4170-8035-4a9b9b41b9b1	2	128888874	137678769	5224	0.0007
ff685e68-253c-4170-8035-4a9b9b41b9b1	2	137678958	138326611	393	0.0992
ff685e68-253c-4170-8035-4a9b9b41b9b1	2	138330733	152939554	9010	0.0078
ff685e68-253c-4170-8035-4a9b9b41b9b1	2	152940256	152940270	2	-1.57
ff685e68-253c-4170-8035-4a9b9b41b9b1	2	152944055	163780342	6376	0.0141
ff685e68-253c-4170-8035-4a9b9b41b9b1	2	163786978	163788616	5	-1.1716
ff685e68-253c-4170-8035-4a9b9b41b9b1	2	163790132	242147305	48396	0.0097
ff685e68-253c-4170-8035-4a9b9b41b9b1	3	20930	171308	140	0.0209
ff685e68-253c-4170-8035-4a9b9b41b9b1	3	171574	2785688	2279	0.084
ff685e68-253c-4170-8035-4a9b9b41b9b1	3	2788917	6604856	3394	0.017
ff685e68-253c-4170-8035-4a9b9b41b9b1	3	6609441	6618787	32	0.3753
ff685e68-253c-4170-8035-4a9b9b41b9b1	3	6618957	21690622	10377	0.0041
ff685e68-253c-4170-8035-4a9b9b41b9b1	3	21691453	22262402	565	0.1014
