GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d7a6c18e-82ef-4cec-a11c-56847983950c	1	62920	3302046	739	0.1319
d7a6c18e-82ef-4cec-a11c-56847983950c	1	3302359	15702243	7529	-0.0302
d7a6c18e-82ef-4cec-a11c-56847983950c	1	15707706	15719614	2	-1.9427
d7a6c18e-82ef-4cec-a11c-56847983950c	1	15720096	15827430	75	0.0152
d7a6c18e-82ef-4cec-a11c-56847983950c	1	15827706	15828471	3	1.1802
d7a6c18e-82ef-4cec-a11c-56847983950c	1	15828515	16488499	289	-0.0535
d7a6c18e-82ef-4cec-a11c-56847983950c	1	16489035	16617327	21	0.4693
d7a6c18e-82ef-4cec-a11c-56847983950c	1	16627347	16890788	54	0.0567
d7a6c18e-82ef-4cec-a11c-56847983950c	1	16890908	16958425	51	0.4611
d7a6c18e-82ef-4cec-a11c-56847983950c	1	16959715	72307730	34030	-0.0216
d7a6c18e-82ef-4cec-a11c-56847983950c	1	72307746	72309451	2	-3.2111
d7a6c18e-82ef-4cec-a11c-56847983950c	1	72313397	72323042	10	0.1941
d7a6c18e-82ef-4cec-a11c-56847983950c	1	72323161	72345450	26	-0.7069
d7a6c18e-82ef-4cec-a11c-56847983950c	1	72345465	91714582	12692	-0.0216
d7a6c18e-82ef-4cec-a11c-56847983950c	1	91717760	91722336	3	-1.5096
d7a6c18e-82ef-4cec-a11c-56847983950c	1	91722677	105481468	8280	-0.0211
d7a6c18e-82ef-4cec-a11c-56847983950c	1	105481515	105492316	10	-0.6631
d7a6c18e-82ef-4cec-a11c-56847983950c	1	105492430	109679105	2622	-0.0281
d7a6c18e-82ef-4cec-a11c-56847983950c	1	109684695	109714002	32	0.4271
d7a6c18e-82ef-4cec-a11c-56847983950c	1	109718120	112147704	1933	-0.0137
d7a6c18e-82ef-4cec-a11c-56847983950c	1	112153343	112154768	25	-0.892
d7a6c18e-82ef-4cec-a11c-56847983950c	1	112163334	119567888	4723	-0.016
d7a6c18e-82ef-4cec-a11c-56847983950c	1	119568996	119586869	30	0.3989
d7a6c18e-82ef-4cec-a11c-56847983950c	1	119586881	119981332	286	-0.0093
d7a6c18e-82ef-4cec-a11c-56847983950c	1	119984738	121013779	30	0.4819
d7a6c18e-82ef-4cec-a11c-56847983950c	1	121074420	121562506	80	0.0932
d7a6c18e-82ef-4cec-a11c-56847983950c	1	121573287	144487217	151	0.4537
d7a6c18e-82ef-4cec-a11c-56847983950c	1	144491166	161539001	7802	-0.0103
d7a6c18e-82ef-4cec-a11c-56847983950c	1	161539085	161649268	12	0.7343
d7a6c18e-82ef-4cec-a11c-56847983950c	1	161678447	162736725	872	-0.0316
d7a6c18e-82ef-4cec-a11c-56847983950c	1	162740863	162741649	2	1.9545
d7a6c18e-82ef-4cec-a11c-56847983950c	1	162742199	196745743	23322	-0.0215
d7a6c18e-82ef-4cec-a11c-56847983950c	1	196758720	196846661	61	-1.206
d7a6c18e-82ef-4cec-a11c-56847983950c	1	196847600	242875257	32003	-0.0216
d7a6c18e-82ef-4cec-a11c-56847983950c	1	242876466	242895843	24	0.5031
d7a6c18e-82ef-4cec-a11c-56847983950c	1	242895940	242960635	27	0.1157
d7a6c18e-82ef-4cec-a11c-56847983950c	1	242966050	243105657	24	0.7489
d7a6c18e-82ef-4cec-a11c-56847983950c	1	243111228	248930189	3730	0.0052
d7a6c18e-82ef-4cec-a11c-56847983950c	2	12784	1931051	1256	0.2606
d7a6c18e-82ef-4cec-a11c-56847983950c	2	1932341	37564178	25172	0.1807
d7a6c18e-82ef-4cec-a11c-56847983950c	2	37567857	37795378	200	0.3558
d7a6c18e-82ef-4cec-a11c-56847983950c	2	37795984	79043909	27715	0.1822
d7a6c18e-82ef-4cec-a11c-56847983950c	2	79049506	79070721	12	0.9296
d7a6c18e-82ef-4cec-a11c-56847983950c	2	79071238	79424705	279	0.1786
d7a6c18e-82ef-4cec-a11c-56847983950c	2	79425226	79426119	4	-0.7785
d7a6c18e-82ef-4cec-a11c-56847983950c	2	79426696	86878530	4527	0.183
d7a6c18e-82ef-4cec-a11c-56847983950c	2	86878753	87892388	151	0.4256
d7a6c18e-82ef-4cec-a11c-56847983950c	2	87894092	88836647	470	0.1884
d7a6c18e-82ef-4cec-a11c-56847983950c	2	88836661	94669081	375	0.4007
d7a6c18e-82ef-4cec-a11c-56847983950c	2	94675825	95405756	249	0.1331
d7a6c18e-82ef-4cec-a11c-56847983950c	2	95416225	95831143	101	0.3874
d7a6c18e-82ef-4cec-a11c-56847983950c	2	95832876	97048036	450	0.1517
d7a6c18e-82ef-4cec-a11c-56847983950c	2	97049417	97642429	109	0.4651
d7a6c18e-82ef-4cec-a11c-56847983950c	2	97643270	102047814	2645	0.1864
d7a6c18e-82ef-4cec-a11c-56847983950c	2	102048249	102070341	21	0.5685
d7a6c18e-82ef-4cec-a11c-56847983950c	2	102073123	106258266	2883	0.1827
d7a6c18e-82ef-4cec-a11c-56847983950c	2	106263639	106270952	14	0.892
d7a6c18e-82ef-4cec-a11c-56847983950c	2	106271414	107824280	989	0.1731
d7a6c18e-82ef-4cec-a11c-56847983950c	2	107830513	107891596	7	1.0258
d7a6c18e-82ef-4cec-a11c-56847983950c	2	107903920	113604438	2786	0.1842
d7a6c18e-82ef-4cec-a11c-56847983950c	2	113604837	113625975	4	1.4118
d7a6c18e-82ef-4cec-a11c-56847983950c	2	113626776	116725487	1895	0.1783
d7a6c18e-82ef-4cec-a11c-56847983950c	2	116727214	117641566	582	0.2717
d7a6c18e-82ef-4cec-a11c-56847983950c	2	117645069	123522573	3827	0.1795
d7a6c18e-82ef-4cec-a11c-56847983950c	2	123523142	123538772	14	-0.3853
d7a6c18e-82ef-4cec-a11c-56847983950c	2	123539652	128880904	3288	0.1899
d7a6c18e-82ef-4cec-a11c-56847983950c	2	128880928	128882723	12	-2.7084
d7a6c18e-82ef-4cec-a11c-56847983950c	2	128882741	130022674	871	0.1921
d7a6c18e-82ef-4cec-a11c-56847983950c	2	130024177	130724059	125	0.4558
d7a6c18e-82ef-4cec-a11c-56847983950c	2	130726392	131182918	224	0.1575
d7a6c18e-82ef-4cec-a11c-56847983950c	2	131182921	131400874	43	0.5543
d7a6c18e-82ef-4cec-a11c-56847983950c	2	131402361	131431178	35	0.1502
d7a6c18e-82ef-4cec-a11c-56847983950c	2	131436145	131543567	40	0.3978
d7a6c18e-82ef-4cec-a11c-56847983950c	2	131547372	131751546	113	0.1402
d7a6c18e-82ef-4cec-a11c-56847983950c	2	131752100	131802808	5	0.8984
d7a6c18e-82ef-4cec-a11c-56847983950c	2	131814020	131956771	46	0.1921
d7a6c18e-82ef-4cec-a11c-56847983950c	2	131962142	132002227	19	0.4736
d7a6c18e-82ef-4cec-a11c-56847983950c	2	132002751	132039763	11	1.0445
d7a6c18e-82ef-4cec-a11c-56847983950c	2	132051740	132601016	263	0.3455
d7a6c18e-82ef-4cec-a11c-56847983950c	2	132603497	137224578	3152	0.1893
d7a6c18e-82ef-4cec-a11c-56847983950c	2	137226077	137226691	5	-1.2058
d7a6c18e-82ef-4cec-a11c-56847983950c	2	137227715	146107526	5473	0.1802
d7a6c18e-82ef-4cec-a11c-56847983950c	2	146107615	146109366	17	-1.6043
d7a6c18e-82ef-4cec-a11c-56847983950c	2	146120238	242147305	59073	0.1789
d7a6c18e-82ef-4cec-a11c-56847983950c	3	20930	182919	154	-0.3306
d7a6c18e-82ef-4cec-a11c-56847983950c	3	188339	193194	5	-2.1177
d7a6c18e-82ef-4cec-a11c-56847983950c	3	193347	4051935	3466	-0.326
d7a6c18e-82ef-4cec-a11c-56847983950c	3	4052055	4064586	38	0.2641
